,artist,rank,title,week
1997,LL Cool J,23,6 Minutes Of Pleasure,3--
1998,Kool Moe Dee,24,How Kool Can One Black Man Be,3--
1999,Jibri Wise One,25,The House The Dog Built,3--
2000,3rd Bass,1,Pop Goes The Weasel,0--
2001,D.J. Jazzy Jeff & The Fresh Prince,2,Summertime,0--
2002,Brand Nubian,3,Slow Down,0--
2003,Chubb Rock,4,The Chubbster,0--
2004,Slick Rick,5,I Shouldn't Have Done It,0--
2005,AMG,6,Bitch Betta Have My Money,0--
2006,Terminator X,7,Homey Don't Play Dat,0--
2007,Ice-T,8,O.G. Original Gangster,0--
2008,Larry Larr,9,"Larry, That's What They Call Me",0--
2009,Heavy D & The Boyz,10,Now That We Found Love,0--
2010,Leaders Of The New School,11,Case Of The P.T.A.,0--
2011,Grandaddy I.U.,12,Sugar Free,0--
2012,Main Source,13,Just Hangin' Out,0--
2013,DJ Quik,14,Tonite,0--
2014,M.C. Breed & D.F.C.,15,Ain't No Future In Yo' Fronting,0--
2015,De La Soul,16,Ring Ring Ring (Ha Ha Hey),0--
2016,Son Of Bazerk,17,"Bang (Get Down, Get Down)",0--
2017,Kool Moe Dee Feat. KRS-One & Chuck D,18,Rise 'N' Shine,0--
2018,Kool Moe Dee,19,How Kool Can One Black Man Be,0--
2019,Yo-Yo Featuring Ice Cube,20,You Can't Play With My Yo-Yo,0--
2020,LL Cool J,21,6 Minutes Of Pleasure,0--
2021,Jibri Wise One,22,The House The Dog Built,0--
2022,The Dogs Feat. Disco Rick,23,Do The Nasty Dance,0--
2023,K.M.D.,24,Who Me?,0--
2024,Rodney O & Joe Cooley,25,Get Ready To Roll,0--
2025,D.J. Jazzy Jeff & The Fresh Prince,1,Summertime,7--
2026,3rd Bass,2,Pop Goes The Weasel,7--
2027,Chubb Rock,3,The Chubbster,7--
2028,Slick Rick,4,I Shouldn't Have Done It,7--
2029,Brand Nubian,5,Slow Down,7--
2030,Heavy D & The Boyz,6,Now That We Found Love,7--
2031,AMG,7,Bitch Betta Have My Money,7--
2032,DJ Quik,8,Tonite,7--
2033,Grandaddy I.U.,9,Sugar Free,7--
2034,Ice-T,10,O.G. Original Gangster,7--
2035,Kool Moe Dee,11,How Kool Can One Black Man Be,7--
2036,Main Source,12,Just Hangin' Out,7--
2037,LL Cool J,13,6 Minutes Of Pleasure,7--
2038,M.C. Breed & D.F.C.,14,Ain't No Future In Yo' Fronting,7--
2039,Jibri Wise One,15,The House The Dog Built,7--
2040,Son Of Bazerk,16,"Bang (Get Down, Get Down)",7--
2041,Terminator X,17,Homey Don't Play Dat,7--
2042,Compton's Most Wanted,18,Growin' Up In The Hood,7--
2043,K.M.D.,19,Who Me?,7--
2044,Big Daddy Kane,20,It's Hard Being The Kane,7--
2045,The Dogs Feat. Disco Rick,21,Do The Nasty Dance,7--
2046,Rodney O & Joe Cooley,22,Get Ready To Roll,7--
2047,Redhead Kingpin,23,It's A Love Thang,7--
2048,Fifth Platoon,24,Party Line,7--
2049,Larry Larr,25,"Larry, That's What They Call Me",7--
2050,D.J. Jazzy Jeff & The Fresh Prince,1,Summertime,3--
2051,Chubb Rock,2,The Chubbster,3--
2052,Slick Rick,3,I Shouldn't Have Done It,3--
2053,3rd Bass,4,Pop Goes The Weasel,3--
2054,Heavy D & The Boyz,5,Now That We Found Love,3--
2055,DJ Quik,6,Tonite,3--
2056,Brand Nubian,7,Slow Down,3--
