,artist,rank,title,week
0,The D.O.C.,1,The D.O.C. & The Doctor,6--
1,Sir Mix-A-Lot,2,Beepers,6--
2,Wreckx-N-Effect,3,New Jack Swing,6--
3,The 2 Live Crew,4,Me So Horny,6--
4,Heavy D & The Boyz,5,Somebody For Me,6--
5,3rd Bass,6,Steppin' Into The A.M.,6--
6,Awesome Dre & The Hard Core Committee,7,Frankly Speaking,6--
7,Donald-D,8,F.B.I.,6--
8,Arabian Prince,9,She's Got A Big Posse,6--
9,Rob Base,10,Turn It Out,6--
10,MC Lyte,11,Cha Cha Cha,6--
11,Salt-N-Pepa,12,Expression,6--
12,Young M.C.,13,Principal's Office,6--
13,Biz Markie,14,Just A Friend,6--
14,Gucci Crew II,15,Five Dollar High,6--
15,Redhead Kingpin & The F.B.I.,16,Pump It Hottie,6--
16,The Young And The Restless,17,Poison Ivy,6--
17,De La Soul,18,Buddy,6--
18,Steady B,19,Going Steady,6--
19,Grandmaster Slice & Izzy Chill,20,Shall We Dance (Electric Slide),6--
20,Young M.C.,21,Bust A Move,6--
21,Black Rock 'N' Ron,22,True Feelings,6--
22,Big Daddy Kane,23,I Get The Job Done,6--
23,Wreckx-N-Effect,24,Juicy,6--
24,Chubb Rock,25,Stop That Train,6--
25,The D.O.C.,1,The D.O.C. & The Doctor,3--
26,Sir Mix-A-Lot,2,Beepers,3--
27,Salt-N-Pepa,3,Expression,3--
28,Rob Base,4,Turn It Out,3--
29,Wreckx-N-Effect,5,New Jack Swing,3--
30,The 2 Live Crew,6,Me So Horny,3--
31,Awesome Dre & The Hard Core Committee,7,Frankly Speaking,3--
32,De La Soul,8,Buddy,3--
33,Heavy D & The Boyz,9,Somebody For Me,3--
34,Redhead Kingpin & The F.B.I.,10,Pump It Hottie,3--
35,MC Lyte,11,Cha Cha Cha,3--
36,Arabian Prince,12,She's Got A Big Posse,3--
37,3rd Bass,13,Steppin' Into The A.M.,3--
38,Biz Markie,14,Just A Friend,3--
39,Young M.C.,15,Principal's Office,3--
40,Big Daddy Kane,16,I Get The Job Done,3--
41,The Young And The Restless,17,Poison Ivy,3--
42,Donald-D,18,F.B.I.,3--
43,Wreckx-N-Effect,19,Juicy,3--
44,Steady B,20,Going Steady,3--
45,Grandmaster Slice & Izzy Chill,21,Shall We Dance (Electric Slide),3--
46,Gucci Crew II,22,Five Dollar High,3--
47,Serious-Lee-Fine,23,Nothing Can Stop Us,3--
48,Chubb Rock,24,Stop That Train,3--
49,Young M.C.,25,Bust A Move,3--
50,Salt-N-Pepa,1,Expression,0--
51,Sir Mix-A-Lot,2,Beepers,0--
52,De La Soul,3,Buddy,0--
53,Rob Base,4,Turn It Out,0--
54,The D.O.C.,5,The D.O.C. & The Doctor,0--
55,Redhead Kingpin & The F.B.I.,6,Pump It Hottie,0--
56,The 2 Live Crew,7,Me So Horny,0--
57,Wreckx-N-Effect,8,New Jack Swing,0--
58,Young M.C.,9,Principal's Office,0--
59,Awesome Dre & The Hard Core Committee,10,Frankly Speaking,0--
60,The Young And The Restless,11,Poison Ivy,0--
61,Big Daddy Kane,12,I Get The Job Done,0--
62,MC Lyte,13,Cha Cha Cha,0--
63,Heavy D & The Boyz,14,Somebody For Me,0--
64,Wreckx-N-Effect,15,Juicy,0--
65,Biz Markie,16,Just A Friend,0--
66,3rd Bass,17,Steppin' Into The A.M.,0--
67,Arabian Prince,18,She's Got A Big Posse,0--
68,Donald-D,19,F.B.I.,0--
69,Steady B,20,Going Steady,0--
70,Grandmaster Slice & Izzy Chill,21,Shall We Dance (Electric Slide),0--
71,Public Enemy,22,Welcome To The Terrordome,0--
72,Serious-Lee-Fine,23,Nothing Can Stop Us,0--
73,Queen Latifah Featuring Monie Love,24,Ladies First,0--
74,Chubb Rock,25,Stop That Train,0--
75,Salt-N-Pepa,1,Expression,7--
76,De La Soul,2,Buddy,7--
77,Sir Mix-A-Lot,3,Beepers,7--
78,Rob Base,4,Turn It Out,7--
79,Redhead Kingpin & The F.B.I.,5,Pump It Hottie,7--
80,Public Enemy,6,Welcome To The Terrordome,7--
81,The D.O.C.,7,The D.O.C. & The Doctor,7--
82,Wreckx-N-Effect,8,Juicy,7--
83,The 2 Live Crew,9,Me So Horny,7--
84,Big Daddy Kane,10,I Get The Job Done,7--
85,Queen Latifah Featuring Monie Love,11,Ladies First,7--
86,Wreckx-N-Effect,12,New Jack Swing,7--
87,The Young And The Restless,13,Poison Ivy,7--
88,Serious-Lee-Fine,14,Nothing Can Stop Us,7--
89,Young M.C.,15,Principal's Office,7--
90,Steady B,16,Going Steady,7--
91,Heavy D & The Boyz,17,Somebody For Me,7--
92,Awesome Dre & The Hard Core Committee,18,Frankly Speaking,7--
93,Arabian Prince,19,She's Got A Big Posse,7--
94,Grandmaster Slice & Izzy Chill,20,Shall We Dance (Electric Slide),7--
95,Biz Markie,21,Just A Friend,7--
96,MC Lyte,22,Cha Cha Cha,7--
97,Chubb Rock,23,Stop That Train,7--
98,Donald-D,24,F.B.I.,7--
99,3rd Bass,25,Steppin' Into The A.M.,7--
100,Salt-N-Pepa,1,Expression,3--
101,De La Soul,2,Buddy,3--
102,Redhead Kingpin & The F.B.I.,3,Pump It Hottie,3--
103,Public Enemy,4,Welcome To The Terrordome,3--
104,Sir Mix-A-Lot,5,Beepers,3--
105,Rob Base,6,Turn It Out,3--
106,Wreckx-N-Effect,7,Juicy,3--
107,Queen Latifah Featuring Monie Love,8,Ladies First,3--
108,Big Daddy Kane,9,I Get The Job Done,3--
109,The Young And The Restless,10,Poison Ivy,3--
110,Young M.C.,11,Principal's Office,3--
111,Serious-Lee-Fine,12,Nothing Can Stop Us,3--
112,The 2 Live Crew,13,Me So Horny,3--
113,The D.O.C.,14,The D.O.C. & The Doctor,3--
114,3rd Bass,15,The Gas Face,3--
115,Wreckx-N-Effect,16,New Jack Swing,3--
116,Steady B,17,Going Steady,3--
117,Digital Underground,18,The Humpty Dance,3--
118,Grandmaster Slice & Izzy Chill,19,Shall We Dance (Electric Slide),3--
119,Biz Markie,20,Just A Friend,3--
120,MC Lyte,21,Cha Cha Cha,3--
121,Mr. Lee,22,Get Busy,3--
122,Rodney O & Joe Cooley,23,Say It Loud,3--
123,T-Ski,24,Pump That Beat,3--
124,Divine Styler Feat. The Scheme Team,25,Ain't Sayin' Nothin',3--
125,Salt-N-Pepa,1,Expression,0--
126,De La Soul,2,Buddy,0--
127,Redhead Kingpin & The F.B.I.,3,Pump It Hottie,0--
128,Public Enemy,4,Welcome To The Terrordome,0--
129,Rob Base,5,Turn It Out,0--
130,Wreckx-N-Effect,6,Juicy,0--
131,Sir Mix-A-Lot,7,Beepers,0--
132,Queen Latifah Featuring Monie Love,8,Ladies First,0--
133,Serious-Lee-Fine,9,Nothing Can Stop Us,0--
134,Big Daddy Kane,10,I Get The Job Done,0--
135,The Young And The Restless,11,Poison Ivy,0--
136,3rd Bass,12,The Gas Face,0--
137,Digital Underground,13,The Humpty Dance,0--
138,Heavy D & The Boyz,14,"Gyrlz, They Love Me",0--
139,The 2 Live Crew,15,Me So Horny,0--
140,Steady B,16,Going Steady,0--
141,Grandmaster Slice & Izzy Chill,17,Shall We Dance (Electric Slide),0--
142,The D.O.C.,18,The D.O.C. & The Doctor,0--
143,Wreckx-N-Effect,19,New Jack Swing,0--
144,Divine Styler Feat. The Scheme Team,20,Ain't Sayin' Nothin',0--
145,Young M.C.,21,Principal's Office,0--
146,T-Ski,22,Pump That Beat,0--
147,Biz Markie,23,Just A Friend,0--
148,Rodney O & Joe Cooley,24,Say It Loud,0--
149,Mr. Lee,25,Get Busy,0--
150,Salt-N-Pepa,1,Expression,7--
151,De La Soul,2,Buddy,7--
152,Redhead Kingpin & The F.B.I.,3,Pump It Hottie,7--
153,Public Enemy,4,Welcome To The Terrordome,7--
154,Queen Latifah Featuring Monie Love,5,Ladies First,7--
155,Wreckx-N-Effect,6,Juicy,7--
156,Digital Underground,7,The Humpty Dance,7--
157,3rd Bass,8,The Gas Face,7--
158,The Young And The Restless,9,Poison Ivy,7--
159,Sir Mix-A-Lot,10,Beepers,7--
160,Rob Base,11,Turn It Out,7--
161,Serious-Lee-Fine,12,Nothing Can Stop Us,7--
162,The 2 Live Crew,13,C'mon Babe,7--
163,Heavy D & The Boyz,14,"Gyrlz, They Love Me",7--
164,Big Daddy Kane,15,I Get The Job Done,7--
165,Divine Styler Feat. The Scheme Team,16,Ain't Sayin' Nothin',7--
166,Rodney O & Joe Cooley,17,Say It Loud,7--
167,T-Ski,18,Pump That Beat,7--
168,Def Dames,19,976-Boom,7--
169,Kwame,20,Sweet Thing,7--
170,Grandmaster Slice & Izzy Chill,21,Shall We Dance (Electric Slide),7--
171,Gang Starr,22,Positivity,7--
172,Mr. Lee,23,Get Busy,7--
173,Young M.C.,24,Principal's Office,7--
174,Low Profile,25,Pay Ya Dues,7--
175,Salt-N-Pepa,1,Expression,4--
176,Redhead Kingpin & The F.B.I.,2,Pump It Hottie,4--
177,De La Soul,3,Buddy,4--
178,Public Enemy,4,Welcome To The Terrordome,4--
179,Digital Underground,5,The Humpty Dance,4--
180,Queen Latifah Featuring Monie Love,6,Ladies First,4--
181,3rd Bass,7,The Gas Face,4--
182,The Young And The Restless,8,Poison Ivy,4--
183,Heavy D & The Boyz,9,"Gyrlz, They Love Me",4--
184,The 2 Live Crew,10,C'mon Babe,4--
185,Rodney O & Joe Cooley,11,Say It Loud,4--
186,Big Daddy Kane,12,I Get The Job Done,4--
187,Divine Styler Feat. The Scheme Team,13,Ain't Sayin' Nothin',4--
188,Rob Base,14,Turn It Out,4--
189,Serious-Lee-Fine,15,Nothing Can Stop Us,4--
190,Wreckx-N-Effect,16,Juicy,4--
191,T-Ski,17,Pump That Beat,4--
192,Sir Mix-A-Lot,18,Beepers,4--
193,Gang Starr,19,Positivity,4--
194,Kwame,20,Sweet Thing,4--
195,LL Cool J,21,Jingling Baby,4--
196,Mr. Lee,22,Get Busy,4--
197,Def Dames,23,976-Boom,4--
198,Biz Markie,24,Just A Friend,4--
199,Maestro Fresh-Wes,25,Let Your Back Bone Slide,4--
200,Salt-N-Pepa,1,Expression,3--
201,De La Soul,2,Buddy,3--
202,Public Enemy,3,Welcome To The Terrordome,3--
203,Redhead Kingpin & The F.B.I.,4,Pump It Hottie,3--
204,Digital Underground,5,The Humpty Dance,3--
205,Queen Latifah Featuring Monie Love,6,Ladies First,3--
206,3rd Bass,7,The Gas Face,3--
207,The 2 Live Crew,8,C'mon Babe,3--
208,Heavy D & The Boyz,9,"Gyrlz, They Love Me",3--
209,The Young And The Restless,10,Poison Ivy,3--
210,Rodney O & Joe Cooley,11,Say It Loud,3--
211,Divine Styler Feat. The Scheme Team,12,Ain't Sayin' Nothin',3--
212,T-Ski,13,Pump That Beat,3--
213,Wreckx-N-Effect,14,Juicy,3--
214,Mr. Lee,15,Get Busy,3--
215,Biz Markie,16,Just A Friend,3--
216,Low Profile,17,Pay Ya Dues,3--
217,LL Cool J,18,Jingling Baby,3--
218,Gang Starr,19,Positivity,3--
219,Kwame,20,Sweet Thing,3--
220,Rob Base,21,Turn It Out,3--
221,Bobby Jimmy & The Critters,22,Somebody Farted,3--
222,Big Daddy Kane,23,I Get The Job Done,3--
223,Def Dames,24,976-Boom,3--
224,Sir Mix-A-Lot,25,Beepers,3--
225,Salt-N-Pepa,1,Expression,0--
226,De La Soul,2,Buddy,0--
227,Public Enemy,3,Welcome To The Terrordome,0--
228,Digital Underground,4,The Humpty Dance,0--
229,3rd Bass,5,The Gas Face,0--
230,Heavy D & The Boyz,6,"Gyrlz, They Love Me",0--
231,Redhead Kingpin & The F.B.I.,7,Pump It Hottie,0--
232,The 2 Live Crew,8,C'mon Babe,0--
233,Rodney O & Joe Cooley,9,Say It Loud,0--
234,Queen Latifah Featuring Monie Love,10,Ladies First,0--
235,The Young And The Restless,11,Poison Ivy,0--
236,Divine Styler Feat. The Scheme Team,12,Ain't Sayin' Nothin',0--
237,LL Cool J,13,Jingling Baby,0--
238,Low Profile,14,Pay Ya Dues,0--
239,Bobby Jimmy & The Critters,15,Somebody Farted,0--
240,Mr. Lee,16,Get Busy,0--
241,Biz Markie,17,Just A Friend,0--
242,Maestro Fresh-Wes,18,Let Your Back Bone Slide,0--
243,Gang Starr,19,Positivity,0--
244,Big Daddy Kane,20,I Get The Job Done,0--
245,Kwame,21,Sweet Thing,0--
246,Vicious Beat Posse,22,Legalized Dope,0--
247,Above The Law,23,Murder Rap,0--
248,M.C. Hammer,24,Help The Children,0--
249,T-Ski,25,Pump That Beat,0--
250,Digital Underground,1,The Humpty Dance,7--
251,Salt-N-Pepa,2,Expression,7--
252,De La Soul,3,Buddy,7--
253,Public Enemy,4,Welcome To The Terrordome,7--
254,3rd Bass,5,The Gas Face,7--
255,Heavy D & The Boyz,6,"Gyrlz, They Love Me",7--
256,The 2 Live Crew,7,C'mon Babe,7--
257,Rodney O & Joe Cooley,8,Say It Loud,7--
258,Queen Latifah Featuring Monie Love,9,Ladies First,7--
259,Divine Styler Feat. The Scheme Team,10,Ain't Sayin' Nothin',7--
260,The Young And The Restless,11,Poison Ivy,7--
261,Above The Law,12,Murder Rap,7--
262,LL Cool J,13,Jingling Baby,7--
263,Low Profile,14,Pay Ya Dues,7--
264,Bobby Jimmy & The Critters,15,Somebody Farted,7--
265,Redhead Kingpin & The F.B.I.,16,Pump It Hottie,7--
266,MC Lyte & DJ K Rock,17,"Stop, Look, Listen",7--
267,M.C. Hammer,18,Help The Children,7--
268,Gang Starr,19,Positivity,7--
269,Maestro Fresh-Wes,20,Let Your Back Bone Slide,7--
270,Mr. Lee,21,Get Busy,7--
271,Biz Markie,22,Just A Friend,7--
272,Vicious Beat Posse,23,Legalized Dope,7--
273,Kid 'N Play,24,Funhouse,7--
274,T-Ski,25,Pump That Beat,7--
275,Digital Underground,1,The Humpty Dance,4--
276,Salt-N-Pepa,2,Expression,4--
277,De La Soul,3,Buddy,4--
278,Heavy D & The Boyz,4,"Gyrlz, They Love Me",4--
279,3rd Bass,5,The Gas Face,4--
280,Rodney O & Joe Cooley,6,Say It Loud,4--
281,Public Enemy,7,Welcome To The Terrordome,4--
282,Above The Law,8,Murder Rap,4--
283,The 2 Live Crew,9,C'mon Babe,4--
284,LL Cool J,10,Jingling Baby,4--
285,Low Profile,11,Pay Ya Dues,4--
286,Bobby Jimmy & The Critters,12,Somebody Farted,4--
287,Divine Styler Feat. The Scheme Team,13,Ain't Sayin' Nothin',4--
288,MC Lyte & DJ K Rock,14,"Stop, Look, Listen",4--
289,Queen Latifah Featuring Monie Love,15,Ladies First,4--
290,The Young And The Restless,16,Poison Ivy,4--
291,Professor Griff,17,Pawns In The Game,4--
292,Maestro Fresh-Wes,18,Let Your Back Bone Slide,4--
293,M.C. Hammer,19,Help The Children,4--
294,Redhead Kingpin & The F.B.I.,20,Pump It Hottie,4--
295,Vicious Beat Posse,21,Legalized Dope,4--
296,Kid 'N Play,22,Funhouse,4--
297,The D.O.C.,23,The Formula,4--
298,Biz Markie,24,Just A Friend,4--
299,Gang Starr,25,Positivity,4--
300,Digital Underground,1,The Humpty Dance,1--
301,Salt-N-Pepa,2,Expression,1--
302,De La Soul,3,Buddy,1--
303,Rodney O & Joe Cooley,4,Say It Loud,1--
304,Above The Law,5,Murder Rap,1--
305,Heavy D & The Boyz,6,"Gyrlz, They Love Me",1--
306,Public Enemy,7,Welcome To The Terrordome,1--
307,3rd Bass,8,The Gas Face,1--
308,LL Cool J,9,Jingling Baby,1--
309,Low Profile,10,Pay Ya Dues,1--
310,Kid 'N Play,11,Funhouse,1--
311,MC Lyte & DJ K Rock,12,"Stop, Look, Listen",1--
312,Divine Styler Feat. The Scheme Team,13,Ain't Sayin' Nothin',1--
313,M.C. Hammer,14,Help The Children,1--
314,Bobby Jimmy & The Critters,15,Somebody Farted,1--
315,The 2 Live Crew,16,C'mon Babe,1--
316,Professor Griff,17,Pawns In The Game,1--
317,Maestro Fresh-Wes,18,Let Your Back Bone Slide,1--
318,The D.O.C.,19,The Formula,1--
319,Queen Latifah Featuring Monie Love,20,Ladies First,1--
320,The Young And The Restless,21,Poison Ivy,1--
321,A Tribe Called Quest,22,I Left My Wallet In El Segundo,1--
322,Vicious Beat Posse,23,Legalized Dope,1--
323,Oaktown's 3.5.7,24,Juicy Gotcha Crazy,1--
324,Kid Sensation,25,Back To Boom,1--
325,Digital Underground,1,The Humpty Dance,7--
326,Above The Law,2,Murder Rap,7--
327,Salt-N-Pepa,3,Expression,7--
328,Rodney O & Joe Cooley,4,Say It Loud,7--
329,Kid 'N Play,5,Funhouse,7--
330,De La Soul,6,Buddy,7--
331,LL Cool J,7,Jingling Baby,7--
332,Low Profile,8,Pay Ya Dues,7--
333,Professor Griff,9,Pawns In The Game,7--
334,MC Lyte & DJ K Rock,10,"Stop, Look, Listen",7--
335,The D.O.C.,11,The Formula,7--
336,Heavy D & The Boyz,12,"Gyrlz, They Love Me",7--
337,Bobby Jimmy & The Critters,13,Somebody Farted,7--
338,Maestro Fresh-Wes,14,Let Your Back Bone Slide,7--
339,Public Enemy,15,Welcome To The Terrordome,7--
340,3rd Bass,16,The Gas Face,7--
341,M.C. Hammer,17,Help The Children,7--
342,Oaktown's 3.5.7,18,Juicy Gotcha Crazy,7--
343,Divine Styler Feat. The Scheme Team,19,Ain't Sayin' Nothin',7--
344,The 2 Live Crew,20,C'mon Babe,7--
345,A Tribe Called Quest,21,I Left My Wallet In El Segundo,7--
346,Kid Sensation,22,Back To Boom,7--
347,The 2 Live Crew,23,The Funk Shop,7--
348,M.C. Hammer,24,Dancin' Machine,7--
349,The Young And The Restless,25,Poison Ivy,7--
350,Digital Underground,1,The Humpty Dance,4--
351,Above The Law,2,Murder Rap,4--
352,Kid 'N Play,3,Funhouse,4--
353,Salt-N-Pepa,4,Expression,4--
354,Rodney O & Joe Cooley,5,Say It Loud,4--
355,LL Cool J,6,Jingling Baby,4--
356,Professor Griff,7,Pawns In The Game,4--
357,Low Profile,8,Pay Ya Dues,4--
358,The D.O.C.,9,The Formula,4--
359,MC Lyte & DJ K Rock,10,"Stop, Look, Listen",4--
360,De La Soul,11,Buddy,4--
361,Oaktown's 3.5.7,12,Juicy Gotcha Crazy,4--
362,A Tribe Called Quest,13,I Left My Wallet In El Segundo,4--
363,Bobby Jimmy & The Critters,14,Somebody Farted,4--
364,M.C. Hammer,15,Help The Children,4--
365,Heavy D & The Boyz,16,"Gyrlz, They Love Me",4--
366,Maestro Fresh-Wes,17,Let Your Back Bone Slide,4--
367,Divine Styler Feat. The Scheme Team,18,Ain't Sayin' Nothin',4--
368,Kid Sensation,19,Back To Boom,4--
369,Public Enemy,20,Welcome To The Terrordome,4--
370,The 2 Live Crew,21,The Funk Shop,4--
371,3rd Bass,22,The Gas Face,4--
372,Missy Mist,23,Gettin' Bass,4--
373,M.C. Shy-D,24,Don't Sweat Me,4--
374,Kenny B Devine,25,Bass In The Box,4--
375,Above The Law,1,Murder Rap,1--
376,Digital Underground,2,The Humpty Dance,1--
377,Kid 'N Play,3,Funhouse,1--
378,The D.O.C.,4,The Formula,1--
379,Professor Griff,5,Pawns In The Game,1--
380,Salt-N-Pepa,6,Expression,1--
381,LL Cool J,7,Jingling Baby,1--
382,Low Profile,8,Pay Ya Dues,1--
383,MC Lyte & DJ K Rock,9,"Stop, Look, Listen",1--
384,Rodney O & Joe Cooley,10,Say It Loud,1--
385,Oaktown's 3.5.7,11,Juicy Gotcha Crazy,1--
386,A Tribe Called Quest,12,I Left My Wallet In El Segundo,1--
387,De La Soul,13,Buddy,1--
388,Public Enemy,14,911 Is A Joke,1--
389,Kid Sensation,15,Back To Boom,1--
390,Bobby Jimmy & The Critters,16,Somebody Farted,1--
391,The 2 Live Crew,17,The Funk Shop,1--
392,Maestro Fresh-Wes,18,Let Your Back Bone Slide,1--
393,Young And Restless,19,"""B"" Girls",1--
394,M.C. Shy-D,20,Don't Sweat Me,1--
395,Power Jam Featuring Chill Rob G,21,The Power,1--
396,Kenny B Devine,22,Bass In The Box,1--
397,Missy Mist,23,Gettin' Bass,1--
398,M.C. Hammer,24,Help The Children,1--
399,Divine Styler Feat. The Scheme Team,25,Ain't Sayin' Nothin',1--
400,Above The Law,1,Murder Rap,8--
401,Digital Underground,2,The Humpty Dance,8--
402,Kid 'N Play,3,Funhouse,8--
403,Professor Griff,4,Pawns In The Game,8--
404,The D.O.C.,5,The Formula,8--
405,Salt-N-Pepa,6,Expression,8--
406,Oaktown's 3.5.7,7,Juicy Gotcha Crazy,8--
407,LL Cool J,8,Jingling Baby,8--
408,A Tribe Called Quest,9,I Left My Wallet In El Segundo,8--
409,Low Profile,10,Pay Ya Dues,8--
410,MC Lyte & DJ K Rock,11,"Stop, Look, Listen",8--
411,Public Enemy,12,911 Is A Joke,8--
412,Young And Restless,13,"""B"" Girls",8--
413,Kid Sensation,14,Back To Boom,8--
414,The 2 Live Crew,15,The Funk Shop,8--
415,De La Soul,16,Buddy,8--
416,Rodney O & Joe Cooley,17,Say It Loud,8--
417,Kenny B Devine,18,Bass In The Box,8--
418,M.C. Shy-D,19,Don't Sweat Me,8--
419,Missy Mist,20,Gettin' Bass,8--
420,Power Jam Featuring Chill Rob G,21,The Power,8--
421,Nice & Smooth,22,Funky For You,8--
422,Mark Dee,23,Get A Hold Of Yourself,8--
423,Bobby Jimmy & The Critters,24,Somebody Farted,8--
424,Sir Mix-A-Lot,25,My Hooptie,8--
425,Kid 'N Play,1,Funhouse,5--
426,Above The Law,2,Murder Rap,5--
427,Digital Underground,3,The Humpty Dance,5--
428,Professor Griff,4,Pawns In The Game,5--
429,The D.O.C.,5,The Formula,5--
430,Public Enemy,6,911 Is A Joke,5--
431,Oaktown's 3.5.7,7,Juicy Gotcha Crazy,5--
432,Salt-N-Pepa,8,Expression,5--
433,A Tribe Called Quest,9,I Left My Wallet In El Segundo,5--
434,LL Cool J,10,Jingling Baby,5--
435,Young And Restless,11,"""B"" Girls",5--
436,Low Profile,12,Pay Ya Dues,5--
437,Power Jam Featuring Chill Rob G,13,The Power,5--
438,The 2 Live Crew,14,The Funk Shop,5--
439,Kid Sensation,15,Back To Boom,5--
440,Kenny B Devine,16,Bass In The Box,5--
441,M.C. Shy-D,17,Don't Sweat Me,5--
442,MC Lyte & DJ K Rock,18,"Stop, Look, Listen",5--
443,Nice & Smooth,19,Funky For You,5--
444,Mark Dee,20,Get A Hold Of Yourself,5--
445,Queen Latifah,21,Come Into My House,5--
446,Missy Mist,22,Gettin' Bass,5--
447,Sir Mix-A-Lot,23,My Hooptie,5--
448,Rodney O & Joe Cooley,24,Say It Loud,5--
449,XClan,25,Raise The Flag,5--
450,Kid 'N Play,1,Funhouse,2--
451,Above The Law,2,Murder Rap,2--
452,Digital Underground,3,The Humpty Dance,2--
453,Professor Griff,4,Pawns In The Game,2--
454,Public Enemy,5,911 Is A Joke,2--
455,The D.O.C.,6,The Formula,2--
456,Oaktown's 3.5.7,7,Juicy Gotcha Crazy,2--
457,Young And Restless,8,"""B"" Girls",2--
458,A Tribe Called Quest,9,I Left My Wallet In El Segundo,2--
459,Power Jam Featuring Chill Rob G,10,The Power,2--
460,LL Cool J,11,Jingling Baby,2--
461,Salt-N-Pepa,12,Expression,2--
462,Kid Sensation,13,Back To Boom,2--
463,Nice & Smooth,14,Funky For You,2--
464,Kenny B Devine,15,Bass In The Box,2--
465,M.C. Shy-D,16,Don't Sweat Me,2--
466,Mark Dee,17,Get A Hold Of Yourself,2--
467,Snap!,18,The Power,2--
468,Low Profile,19,Pay Ya Dues,2--
469,Sir Mix-A-Lot,20,My Hooptie,2--
470,The 2 Live Crew,21,The Funk Shop,2--
471,Missy Mist,22,Gettin' Bass,2--
472,Queen Latifah,23,Come Into My House,2--
473,Heavy D & The Boyz,24,Big Tyme,2--
474,MC Lyte & DJ K Rock,25,"Stop, Look, Listen",2--
475,Kid 'N Play,1,Funhouse,9--
476,Public Enemy,2,911 Is A Joke,9--
477,Above The Law,3,Murder Rap,9--
478,Digital Underground,4,The Humpty Dance,9--
479,Professor Griff,5,Pawns In The Game,9--
480,Young And Restless,6,"""B"" Girls",9--
481,Oaktown's 3.5.7,7,Juicy Gotcha Crazy,9--
482,The D.O.C.,8,The Formula,9--
483,Power Jam Featuring Chill Rob G,9,The Power,9--
484,Nice & Smooth,10,Funky For You,9--
485,Snap!,11,The Power,9--
486,Ice Cube,12,Amerikkka's Most Wanted,9--
487,A Tribe Called Quest,13,I Left My Wallet In El Segundo,9--
488,Kenny B Devine,14,Bass In The Box,9--
489,LL Cool J,15,Jingling Baby,9--
490,Salt-N-Pepa,16,Expression,9--
491,Sir Mix-A-Lot,17,My Hooptie,9--
492,Mark Dee,18,Get A Hold Of Yourself,9--
493,Kid Sensation,19,Back To Boom,9--
494,M.C. Shy-D,20,Don't Sweat Me,9--
495,M.C. Hammer,21,U Can't Touch This,9--
496,XClan,22,Raise The Flag,9--
497,Queen Latifah,23,Come Into My House,9--
498,The 2 Live Crew,24,The Funk Shop,9--
499,Jungle Brothers,25,What U Waitin 4?,9--
500,Public Enemy,1,911 Is A Joke,6--
501,Kid 'N Play,2,Funhouse,6--
502,Digital Underground,3,The Humpty Dance,6--
503,Young And Restless,4,"""B"" Girls",6--
504,Professor Griff,5,Pawns In The Game,6--
505,Power Jam Featuring Chill Rob G,6,The Power,6--
506,Above The Law,7,Murder Rap,6--
507,Ice Cube,8,Amerikkka's Most Wanted,6--
508,Snap!,9,The Power,6--
509,Oaktown's 3.5.7,10,Juicy Gotcha Crazy,6--
510,Nice & Smooth,11,Funky For You,6--
511,The D.O.C.,12,The Formula,6--
512,Sir Mix-A-Lot,13,My Hooptie,6--
513,Mark Dee,14,Get A Hold Of Yourself,6--
514,M.C. Hammer,15,U Can't Touch This,6--
515,A Tribe Called Quest,16,I Left My Wallet In El Segundo,6--
516,Kenny B Devine,17,Bass In The Box,6--
517,Kid Sensation,18,Back To Boom,6--
518,XClan,19,Raise The Flag,6--
519,Partners In Kryme,20,Turtle Power,6--
520,Salt-N-Pepa,21,Expression,6--
521,LL Cool J,22,Jingling Baby,6--
522,M.C. Shy-D,23,Don't Sweat Me,6--
523,Icey Jaye,24,It's Just A Girl Thing,6--
524,Audio Two,25,On The Road Again,6--
525,Public Enemy,1,911 Is A Joke,2--
526,Ice Cube,2,Amerikkka's Most Wanted,2--
527,Snap!,3,The Power,2--
528,Young And Restless,4,"""B"" Girls",2--
529,Power Jam Featuring Chill Rob G,5,The Power,2--
530,Digital Underground,6,The Humpty Dance,2--
531,M.C. Hammer,7,U Can't Touch This,2--
532,Kid 'N Play,8,Funhouse,2--
533,Nice & Smooth,9,Funky For You,2--
534,Above The Law,10,Murder Rap,2--
535,Professor Griff,11,Pawns In The Game,2--
536,Sir Mix-A-Lot,12,My Hooptie,2--
537,Oaktown's 3.5.7,13,Juicy Gotcha Crazy,2--
538,Partners In Kryme,14,Turtle Power,2--
539,Mark Dee,15,Get A Hold Of Yourself,2--
540,XClan,16,Raise The Flag,2--
541,The D.O.C.,17,The Formula,2--
542,Icey Jaye,18,It's Just A Girl Thing,2--
543,LL Cool J,19,Jingling Baby,2--
544,Salt-N-Pepa,20,Expression,2--
545,Jungle Brothers,21,What U Waitin 4?,2--
546,Audio Two,22,On The Road Again,2--
547,David Bowie With Queen Latifah,23,Fame 90,2--
548,Kid Sensation,24,Back To Boom,2--
549,M.C. Shy-D,25,Don't Sweat Me,2--
550,Ice Cube,1,Amerikkka's Most Wanted,9--
551,Public Enemy,2,911 Is A Joke,9--
552,Snap!,3,The Power,9--
553,Power Jam Featuring Chill Rob G,4,The Power,9--
554,M.C. Hammer,5,U Can't Touch This,9--
555,Young And Restless,6,"""B"" Girls",9--
