,artist,rank,title,week
1866,Fabolous,17,You Be Killin Em,4--
1867,New Boyz Featuring The Cataracs & Dev,18,Backseat,4--
1868,Waka Flocka Flame Featuring Kebo Gotti,19,Grove St. Party,4--
1869,Travis Porter,20,Bring It Back,4--
1870,Diddy - Dirty Money Featuring Trey Songz,21,Your Love,4--
1871,Tinie Tempah Featuring Eric Turner,22,Written In The Stars,4--
1872,Lloyd Banks Featuring Jeremih,23,I Don't Deserve You,4--
1873,LMFAO Featuring Lauren Bennett & GoonRock,24,Party Rock Anthem,4--
1874,Rick Ross Featuring Lil Wayne Or T.I.,25,9 Piece,4--
1875,Chris Brown Featuring Lil Wayne & Busta Rhymes,1,Look At Me Now,1--
1876,Wiz Khalifa,2,Roll Up,1--
1877,Big Sean Featuring Chris Brown,3,My Last,1--
1878,Lupe Fiasco,4,The Show Goes On,1--
1879,Kanye West,5,All Of The Lights,1--
1880,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",6,Give Me Everything,1--
1881,YC Featuring Future,7,Racks,1--
1882,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",8,I'm On One,1--
1883,Nicki Minaj Featuring Drake,9,Moment 4 Life,1--
1884,Ace Hood,10,Hustle Hard,1--
1885,Nicki Minaj,11,Did It On'em,1--
1886,Lil Wayne Featuring Cory Gunz,12,6 Foot 7 Foot,1--
1887,Lupe Fiasco Featuring Trey Songz,13,Out Of My Head,1--
1888,Waka Flocka Flame Featuring Roscoe Dash & Wale,14,No Hands,1--
1889,Lil Wayne Featuring Rick Ross,15,John,1--
1890,Nicki Minaj,16,Super Bass,1--
1891,Fabolous,17,You Be Killin Em,1--
1892,Waka Flocka Flame Featuring Kebo Gotti,18,Grove St. Party,1--
1893,Travis Porter,19,Bring It Back,1--
1894,LMFAO Featuring Lauren Bennett & GoonRock,20,Party Rock Anthem,1--
1895,Diddy - Dirty Money Featuring Trey Songz,21,Your Love,1--
1896,New Boyz Featuring The Cataracs & Dev,22,Backseat,1--
1897,Tinie Tempah Featuring Eric Turner,23,Written In The Stars,1--
1898,Rick Ross Featuring Lil Wayne Or T.I.,24,9 Piece,1--
1899,Lloyd Banks Featuring Jeremih,25,I Don't Deserve You,1--
1900,Chris Brown Featuring Lil Wayne & Busta Rhymes,1,Look At Me Now,8--
1901,Big Sean Featuring Chris Brown,2,My Last,8--
1902,Wiz Khalifa,3,Roll Up,8--
1903,Kanye West,4,All Of The Lights,8--
1904,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",5,Give Me Everything,8--
1905,Lupe Fiasco,6,The Show Goes On,8--
1906,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",7,I'm On One,8--
1907,YC Featuring Future,8,Racks,8--
1908,Lupe Fiasco Featuring Trey Songz,9,Out Of My Head,8--
1909,Ace Hood,10,Hustle Hard,8--
1910,Nicki Minaj,11,Super Bass,8--
1911,Nicki Minaj Featuring Drake,12,Moment 4 Life,8--
1912,Waka Flocka Flame Featuring Roscoe Dash & Wale,13,No Hands,8--
1913,Nicki Minaj,14,Did It On'em,8--
1914,Lil Wayne Featuring Cory Gunz,15,6 Foot 7 Foot,8--
1915,Lil Wayne Featuring Rick Ross,16,John,8--
1916,LMFAO Featuring Lauren Bennett & GoonRock,17,Party Rock Anthem,8--
1917,Lil Wayne,18,How To Love,8--
1918,Fabolous,19,You Be Killin Em,8--
1919,Waka Flocka Flame Featuring Kebo Gotti,20,Grove St. Party,8--
1920,Travis Porter,21,Bring It Back,8--
1921,New Boyz Featuring The Cataracs & Dev,22,Backseat,8--
1922,Rick Ross Featuring Lil Wayne Or T.I.,23,9 Piece,8--
1923,Diddy - Dirty Money Featuring Trey Songz,24,Your Love,8--
1924,Tinie Tempah Featuring Eric Turner,25,Written In The Stars,8--
1925,Chris Brown Featuring Lil Wayne & Busta Rhymes,1,Look At Me Now,5--
1926,Big Sean Featuring Chris Brown,2,My Last,5--
1927,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",3,I'm On One,5--
1928,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",4,Give Me Everything,5--
1929,Wiz Khalifa,5,Roll Up,5--
1930,Kanye West,6,All Of The Lights,5--
1931,Lupe Fiasco,7,The Show Goes On,5--
1932,Nicki Minaj,8,Super Bass,5--
1933,YC Featuring Future,9,Racks,5--
1934,Lil Wayne,10,How To Love,5--
1935,Lupe Fiasco Featuring Trey Songz,11,Out Of My Head,5--
1936,Ace Hood,12,Hustle Hard,5--
1937,LMFAO Featuring Lauren Bennett & GoonRock,13,Party Rock Anthem,5--
1938,Waka Flocka Flame Featuring Roscoe Dash & Wale,14,No Hands,5--
1939,Nicki Minaj Featuring Drake,15,Moment 4 Life,5--
1940,Lil Wayne Featuring Cory Gunz,16,6 Foot 7 Foot,5--
1941,Nicki Minaj,17,Did It On'em,5--
1942,Lil Wayne Featuring Rick Ross,18,John,5--
1943,Fabolous,19,You Be Killin Em,5--
1944,Travis Porter,20,Bring It Back,5--
1945,Young Jeezy Featuring Lil Wayne,21,Ballin',5--
1946,Waka Flocka Flame Featuring Kebo Gotti,22,Grove St. Party,5--
1947,Rick Ross Featuring Lil Wayne Or T.I.,23,9 Piece,5--
1948,New Boyz Featuring The Cataracs & Dev,24,Backseat,5--
1949,Meek Mill Featuring Rick Ross,25,Tupac Back,5--
1950,Big Sean Featuring Chris Brown,1,My Last,2--
1951,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",2,I'm On One,2--
1952,Chris Brown Featuring Lil Wayne & Busta Rhymes,3,Look At Me Now,2--
1953,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",4,Give Me Everything,2--
1954,Kanye West,5,All Of The Lights,2--
1955,Nicki Minaj,6,Super Bass,2--
1956,Lil Wayne,7,How To Love,2--
1957,Wiz Khalifa,8,Roll Up,2--
1958,Lupe Fiasco,9,The Show Goes On,2--
1959,LMFAO Featuring Lauren Bennett & GoonRock,10,Party Rock Anthem,2--
1960,Lupe Fiasco Featuring Trey Songz,11,Out Of My Head,2--
1961,YC Featuring Future,12,Racks,2--
1962,Ace Hood,13,Hustle Hard,2--
1963,Waka Flocka Flame Featuring Roscoe Dash & Wale,14,No Hands,2--
1964,Nicki Minaj Featuring Drake,15,Moment 4 Life,2--
1965,Lil Wayne Featuring Rick Ross,16,John,2--
1966,Young Jeezy Featuring Lil Wayne,17,Ballin',2--
1967,Nicki Minaj,18,Did It On'em,2--
1968,Rick Ross Featuring Lil Wayne Or T.I.,19,9 Piece,2--
1969,Fabolous,20,You Be Killin Em,2--
1970,Travis Porter,21,Bring It Back,2--
1971,Meek Mill Featuring Rick Ross,22,Tupac Back,2--
1972,Wiz Khalifa Featuring Too $hort,23,On My Level,2--
1973,T-Pain Featuring Joey Galaxy,24,Booty Wurk (One Cheek At A Time),2--
1974,New Boyz Featuring The Cataracs & Dev,25,Backseat,2--
1975,Big Sean Featuring Chris Brown,1,My Last,9--
1976,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",2,I'm On One,9--
1977,Chris Brown Featuring Lil Wayne & Busta Rhymes,3,Look At Me Now,9--
1978,Lil Wayne,4,How To Love,9--
1979,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",5,Give Me Everything,9--
1980,Nicki Minaj,6,Super Bass,9--
1981,Kanye West,7,All Of The Lights,9--
1982,LMFAO Featuring Lauren Bennett & GoonRock,8,Party Rock Anthem,9--
1983,Lupe Fiasco Featuring Trey Songz,9,Out Of My Head,9--
1984,Lupe Fiasco,10,The Show Goes On,9--
1985,Wiz Khalifa,11,Roll Up,9--
1986,YC Featuring Future,12,Racks,9--
1987,Ace Hood,13,Hustle Hard,9--
1988,Waka Flocka Flame Featuring Roscoe Dash & Wale,14,No Hands,9--
1989,Nicki Minaj Featuring Drake,15,Moment 4 Life,9--
1990,Lil Wayne Featuring Rick Ross,16,John,9--
1991,Young Jeezy Featuring Lil Wayne,17,Ballin',9--
1992,Rick Ross Featuring Lil Wayne Or T.I.,18,9 Piece,9--
1993,Wiz Khalifa Featuring Too $hort,19,On My Level,9--
1994,Travis Porter,20,Bring It Back,9--
1995,Nicki Minaj,21,Did It On'em,9--
1996,Meek Mill Featuring Rick Ross,22,Tupac Back,9--
1997,Yo Gotti,23,We Can Get It On,9--
1998,David Guetta Featuring Flo Rida & Nicki Minaj,24,Where Them Girls At,9--
1999,New Boyz Featuring The Cataracs & Dev,25,Backseat,9--
2000,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,I'm On One,6--
2001,Big Sean Featuring Chris Brown,2,My Last,6--
2002,Lil Wayne,3,How To Love,6--
2003,Nicki Minaj,4,Super Bass,6--
2004,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",5,Give Me Everything,6--
2005,Chris Brown Featuring Lil Wayne & Busta Rhymes,6,Look At Me Now,6--
2006,LMFAO Featuring Lauren Bennett & GoonRock,7,Party Rock Anthem,6--
2007,Lupe Fiasco Featuring Trey Songz,8,Out Of My Head,6--
2008,Kanye West,9,All Of The Lights,6--
2009,Wiz Khalifa,10,Roll Up,6--
2010,Lupe Fiasco,11,The Show Goes On,6--
2011,YC Featuring Future,12,Racks,6--
2012,Waka Flocka Flame Featuring Roscoe Dash & Wale,13,No Hands,6--
2013,Ace Hood,14,Hustle Hard,6--
2014,Young Jeezy Featuring Lil Wayne,15,Ballin',6--
2015,Lil Wayne Featuring Rick Ross,16,John,6--
2016,Nicki Minaj Featuring Drake,17,Moment 4 Life,6--
2017,Wiz Khalifa Featuring Too $hort,18,On My Level,6--
2018,Travis Porter,19,Bring It Back,6--
2019,Rick Ross Featuring Lil Wayne Or T.I.,20,9 Piece,6--
2020,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa",21,Oh My,6--
2021,Meek Mill Featuring Rick Ross,22,Tupac Back,6--
2022,Nicki Minaj,23,Did It On'em,6--
2023,Waka Flocka Flame Featuring Kebo Gotti,24,Grove St. Party,6--
2024,Yo Gotti,25,We Can Get It On,6--
2025,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,I'm On One,3--
2026,Lil Wayne,2,How To Love,3--
2027,Big Sean Featuring Chris Brown,3,My Last,3--
2028,Nicki Minaj,4,Super Bass,3--
2029,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",5,Give Me Everything,3--
2030,LMFAO Featuring Lauren Bennett & GoonRock,6,Party Rock Anthem,3--
2031,Chris Brown Featuring Lil Wayne & Busta Rhymes,7,Look At Me Now,3--
2032,Lupe Fiasco Featuring Trey Songz,8,Out Of My Head,3--
2033,Kanye West,9,All Of The Lights,3--
2034,Lupe Fiasco,10,The Show Goes On,3--
2035,Wiz Khalifa,11,Roll Up,3--
2036,Ace Hood,12,Hustle Hard,3--
2037,Waka Flocka Flame Featuring Roscoe Dash & Wale,13,No Hands,3--
2038,YC Featuring Future,14,Racks,3--
2039,Young Jeezy Featuring Lil Wayne,15,Ballin',3--
2040,Wiz Khalifa Featuring Too $hort,16,On My Level,3--
2041,Nicki Minaj Featuring Drake,17,Moment 4 Life,3--
2042,Lil Wayne Featuring Rick Ross,18,John,3--
2043,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa",19,Oh My,3--
2044,Bad Meets Evil Featuring Bruno Mars,20,Lighters,3--
2045,Rick Ross Featuring Lil Wayne Or T.I.,21,9 Piece,3--
2046,Yo Gotti,22,We Can Get It On,3--
2047,Big K.R.I.T.,23,Country Sh*t,3--
2048,Tyga Featuring Chris Richardson,24,Far Away,3--
2049,New Boyz Featuring Chris Brown,25,Better With The Lights Off,3--
2050,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,I'm On One,0--
2051,Lil Wayne,2,How To Love,0--
2052,Big Sean Featuring Chris Brown,3,My Last,0--
2053,Nicki Minaj,4,Super Bass,0--
2054,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",5,Give Me Everything,0--
2055,LMFAO Featuring Lauren Bennett & GoonRock,6,Party Rock Anthem,0--
2056,Lupe Fiasco Featuring Trey Songz,7,Out Of My Head,0--
2057,Chris Brown Featuring Lil Wayne & Busta Rhymes,8,Look At Me Now,0--
2058,Kanye West,9,All Of The Lights,0--
2059,Lupe Fiasco,10,The Show Goes On,0--
2060,Wiz Khalifa,11,Roll Up,0--
2061,Ace Hood,12,Hustle Hard,0--
2062,Young Jeezy Featuring Lil Wayne,13,Ballin',0--
2063,Wiz Khalifa Featuring Too $hort,14,On My Level,0--
2064,Waka Flocka Flame Featuring Roscoe Dash & Wale,15,No Hands,0--
2065,Bad Meets Evil Featuring Bruno Mars,16,Lighters,0--
2066,Lil Wayne Featuring Rick Ross,17,John,0--
2067,YC Featuring Future,18,Racks,0--
2068,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa",19,Oh My,0--
2069,Nicki Minaj Featuring Drake,20,Moment 4 Life,0--
2070,Big Sean Featuring Kanye West & Roscoe Dash,21,Marvin & Chardonnay,0--
2071,Yo Gotti,22,We Can Get It On,0--
2072,Rick Ross Featuring Lil Wayne Or T.I.,23,9 Piece,0--
2073,Tyga Featuring Chris Richardson,24,Far Away,0--
2074,New Boyz Featuring Chris Brown,25,Better With The Lights Off,0--
2075,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,I'm On One,6--
2076,Lil Wayne,2,How To Love,6--
2077,Nicki Minaj,3,Super Bass,6--
2078,Big Sean Featuring Chris Brown,4,My Last,6--
2079,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",5,Give Me Everything,6--
2080,LMFAO Featuring Lauren Bennett & GoonRock,6,Party Rock Anthem,6--
2081,Lupe Fiasco Featuring Trey Songz,7,Out Of My Head,6--
2082,Chris Brown Featuring Lil Wayne & Busta Rhymes,8,Look At Me Now,6--
2083,Kanye West,9,All Of The Lights,6--
2084,Wiz Khalifa Featuring Too $hort,10,On My Level,6--
2085,Bad Meets Evil Featuring Bruno Mars,11,Lighters,6--
2086,Lupe Fiasco,12,The Show Goes On,6--
2087,Jay Z Kanye West Featuring Otis Redding,13,Otis,6--
2088,Wiz Khalifa,14,Roll Up,6--
2089,Young Jeezy Featuring Lil Wayne,15,Ballin',6--
2090,Waka Flocka Flame Featuring Roscoe Dash & Wale,16,No Hands,6--
2091,Big Sean Featuring Kanye West & Roscoe Dash,17,Marvin & Chardonnay,6--
2092,Ace Hood,18,Hustle Hard,6--
2093,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa",19,Oh My,6--
2094,Lil Wayne Featuring Rick Ross,20,John,6--
2095,YC Featuring Future,21,Racks,6--
2096,Wale Featuring Jeremih & Rick Ross,22,That Way,6--
2097,Yo Gotti,23,We Can Get It On,6--
2098,Tyga Featuring Chris Richardson,24,Far Away,6--
2099,New Boyz Featuring Chris Brown,25,Better With The Lights Off,6--
2100,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,I'm On One,3--
2101,Lil Wayne,2,How To Love,3--
2102,Nicki Minaj,3,Super Bass,3--
2103,Big Sean Featuring Chris Brown,4,My Last,3--
2104,LMFAO Featuring Lauren Bennett & GoonRock,5,Party Rock Anthem,3--
2105,Lupe Fiasco Featuring Trey Songz,6,Out Of My Head,3--
2106,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",7,Give Me Everything,3--
2107,Jay Z Kanye West Featuring Otis Redding,8,Otis,3--
2108,Chris Brown Featuring Lil Wayne & Busta Rhymes,9,Look At Me Now,3--
2109,Bad Meets Evil Featuring Bruno Mars,10,Lighters,3--
2110,Big Sean Featuring Kanye West & Roscoe Dash,11,Marvin & Chardonnay,3--
2111,Kanye West,12,All Of The Lights,3--
2112,Wiz Khalifa Featuring Too $hort,13,On My Level,3--
2113,Waka Flocka Flame Featuring Roscoe Dash & Wale,14,No Hands,3--
2114,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa",15,Oh My,3--
2115,Lupe Fiasco,16,The Show Goes On,3--
2116,Lil Wayne Featuring Rick Ross,17,John,3--
2117,Wiz Khalifa,18,Roll Up,3--
2118,Young Jeezy Featuring Lil Wayne,19,Ballin',3--
2119,Wale Featuring Jeremih & Rick Ross,20,That Way,3--
2120,YC Featuring Future,21,Racks,3--
2121,Tyga Featuring Chris Richardson,22,Far Away,3--
2122,New Boyz Featuring Chris Brown,23,Better With The Lights Off,3--
2123,Tinie Tempah Featuring Wiz Khalifa,24,Till I'm Gone,3--
2124,Kreayshawn,25,Gucci Gucci,3--
2125,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,I'm On One,0--
2126,Nicki Minaj,2,Super Bass,0--
2127,Big Sean Featuring Chris Brown,3,My Last,0--
2128,LMFAO Featuring Lauren Bennett & GoonRock,4,Party Rock Anthem,0--
2129,Lupe Fiasco Featuring Trey Songz,5,Out Of My Head,0--
2130,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",6,Give Me Everything,0--
2131,Jay Z Kanye West Featuring Otis Redding,7,Otis,0--
2132,Bad Meets Evil Featuring Bruno Mars,8,Lighters,0--
2133,Big Sean Featuring Kanye West & Roscoe Dash,9,Marvin & Chardonnay,0--
2134,Chris Brown Featuring Lil Wayne & Busta Rhymes,10,Look At Me Now,0--
2135,Kanye West,11,All Of The Lights,0--
2136,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa",12,Oh My,0--
2137,Lil Wayne Featuring Rick Ross,13,John,0--
2138,Wiz Khalifa Featuring Too $hort,14,On My Level,0--
2139,Waka Flocka Flame Featuring Roscoe Dash & Wale,15,No Hands,0--
2140,Wiz Khalifa,16,Roll Up,0--
2141,Lupe Fiasco,17,The Show Goes On,0--
2142,Wale Featuring Jeremih & Rick Ross,18,That Way,0--
2143,Tyga Featuring Chris Richardson,19,Far Away,0--
2144,New Boyz Featuring Chris Brown,20,Better With The Lights Off,0--
2145,Drake,21,Headlines,0--
2146,Young Jeezy Featuring Lil Wayne,22,Ballin',0--
2147,Tinie Tempah Featuring Wiz Khalifa,23,Till I'm Gone,0--
2148,Kreayshawn,24,Gucci Gucci,0--
2149,Pitbull Featuring Marc Anthony,25,Rain Over Me,0--
2150,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,I'm On One,7--
2151,Nicki Minaj,2,Super Bass,7--
2152,Big Sean Featuring Chris Brown,3,My Last,7--
2153,LMFAO Featuring Lauren Bennett & GoonRock,4,Party Rock Anthem,7--
2154,Lupe Fiasco Featuring Trey Songz,5,Out Of My Head,7--
2155,Jay Z Kanye West Featuring Otis Redding,6,Otis,7--
2156,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",7,Give Me Everything,7--
2157,Big Sean Featuring Kanye West & Roscoe Dash,8,Marvin & Chardonnay,7--
2158,Bad Meets Evil Featuring Bruno Mars,9,Lighters,7--
2159,Chris Brown Featuring Lil Wayne & Busta Rhymes,10,Look At Me Now,7--
2160,Drake,11,Headlines,7--
2161,Lil Wayne Featuring Rick Ross,12,John,7--
2162,Wale Featuring Jeremih & Rick Ross,13,That Way,7--
2163,Waka Flocka Flame Featuring Roscoe Dash & Wale,14,No Hands,7--
2164,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa",15,Oh My,7--
2165,Kanye West,16,All Of The Lights,7--
2166,Wiz Khalifa,17,Roll Up,7--
2167,Wiz Khalifa Featuring Too $hort,18,On My Level,7--
2168,Lupe Fiasco,19,The Show Goes On,7--
2169,Tyga Featuring Chris Richardson,20,Far Away,7--
2170,New Boyz Featuring Chris Brown,21,Better With The Lights Off,7--
2171,Tinie Tempah Featuring Wiz Khalifa,22,Till I'm Gone,7--
2172,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",23,Ima Boss,7--
2173,Kreayshawn,24,Gucci Gucci,7--
2174,Ace Hood Featuring Chris Brown,25,Body 2 Body,7--
2175,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,I'm On One,3--
2176,Nicki Minaj,2,Super Bass,3--
2177,Big Sean Featuring Chris Brown,3,My Last,3--
2178,Lupe Fiasco Featuring Trey Songz,4,Out Of My Head,3--
2179,Jay Z Kanye West Featuring Otis Redding,5,Otis,3--
2180,LMFAO Featuring Lauren Bennett & GoonRock,6,Party Rock Anthem,3--
2181,Bad Meets Evil Featuring Bruno Mars,7,Lighters,3--
2182,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",8,Give Me Everything,3--
2183,Big Sean Featuring Kanye West & Roscoe Dash,9,Marvin & Chardonnay,3--
2184,Drake,10,Headlines,3--
2185,Chris Brown Featuring Lil Wayne & Busta Rhymes,11,Look At Me Now,3--
2186,Lil Wayne Featuring Drake,12,She Will,3--
2187,Wale Featuring Jeremih & Rick Ross,13,That Way,3--
2188,Lil Wayne Featuring Rick Ross,14,John,3--
2189,Kanye West,15,All Of The Lights,3--
2190,Waka Flocka Flame Featuring Roscoe Dash & Wale,16,No Hands,3--
2191,Tyga Featuring Chris Richardson,17,Far Away,3--
2192,New Boyz Featuring Chris Brown,18,Better With The Lights Off,3--
2193,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa",19,Oh My,3--
2194,Lupe Fiasco,20,The Show Goes On,3--
2195,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",21,Ima Boss,3--
2196,Ace Hood Featuring Chris Brown,22,Body 2 Body,3--
2197,Wiz Khalifa Featuring Too $hort,23,On My Level,3--
2198,Kreayshawn,24,Gucci Gucci,3--
2199,Tinie Tempah Featuring Wiz Khalifa,25,Till I'm Gone,3--
2200,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,I'm On One,0--
2201,Nicki Minaj,2,Super Bass,0--
2202,Jay Z Kanye West Featuring Otis Redding,3,Otis,0--
2203,Big Sean Featuring Chris Brown,4,My Last,0--
2204,LMFAO Featuring Lauren Bennett & GoonRock,5,Party Rock Anthem,0--
2205,Lupe Fiasco Featuring Trey Songz,6,Out Of My Head,0--
2206,Bad Meets Evil Featuring Bruno Mars,7,Lighters,0--
2207,Big Sean Featuring Kanye West & Roscoe Dash,8,Marvin & Chardonnay,0--
2208,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",9,Give Me Everything,0--
2209,Drake,10,Headlines,0--
2210,Lil Wayne Featuring Drake,11,She Will,0--
2211,Wale Featuring Jeremih & Rick Ross,12,That Way,0--
2212,New Boyz Featuring Chris Brown,13,Better With The Lights Off,0--
2213,Ace Hood Featuring Chris Brown,14,Body 2 Body,0--
2214,Chris Brown Featuring Lil Wayne & Busta Rhymes,15,Look At Me Now,0--
2215,Waka Flocka Flame Featuring Roscoe Dash & Wale,16,No Hands,0--
2216,Tyga Featuring Chris Richardson,17,Far Away,0--
2217,Lupe Fiasco,18,The Show Goes On,0--
2218,Kanye West,19,All Of The Lights,0--
2219,Lil Wayne Featuring Rick Ross,20,John,0--
2220,Kreayshawn,21,Gucci Gucci,0--
2221,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",22,Ima Boss,0--
2222,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa",23,Oh My,0--
2223,J. Cole,24,Work Out,0--
2224,Jay Z Kanye West,25,Ni**as in Paris,0--
2225,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,I'm On One,7--
2226,Jay Z Kanye West Featuring Otis Redding,2,Otis,7--
2227,Nicki Minaj,3,Super Bass,7--
2228,Big Sean Featuring Kanye West & Roscoe Dash,4,Marvin & Chardonnay,7--
2229,Drake,5,Headlines,7--
2230,Big Sean Featuring Chris Brown,6,My Last,7--
2231,Bad Meets Evil Featuring Bruno Mars,7,Lighters,7--
2232,LMFAO Featuring Lauren Bennett & GoonRock,8,Party Rock Anthem,7--
2233,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",9,Give Me Everything,7--
2234,Lupe Fiasco Featuring Trey Songz,10,Out Of My Head,7--
2235,Lil Wayne Featuring Drake,11,She Will,7--
2236,Wale Featuring Jeremih & Rick Ross,12,That Way,7--
2237,Jay Z Kanye West,13,Ni**as in Paris,7--
2238,Ace Hood Featuring Chris Brown,14,Body 2 Body,7--
2239,New Boyz Featuring Chris Brown,15,Better With The Lights Off,7--
2240,Tyga Featuring Chris Richardson,16,Far Away,7--
2241,Waka Flocka Flame Featuring Roscoe Dash & Wale,17,No Hands,7--
2242,Chris Brown Featuring Lil Wayne & Busta Rhymes,18,Look At Me Now,7--
2243,Kreayshawn,19,Gucci Gucci,7--
2244,Lupe Fiasco,20,The Show Goes On,7--
2245,J. Cole,21,Work Out,7--
2246,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",22,Ima Boss,7--
2247,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa",23,Oh My,7--
2248,Diggy,24,"Copy, Paste",7--
2249,Nicki Minaj Featuring Rihanna,25,Fly,7--
2250,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,I'm On One,4--
2251,Jay Z Kanye West Featuring Otis Redding,2,Otis,4--
2252,Drake,3,Headlines,4--
2253,Big Sean Featuring Kanye West & Roscoe Dash,4,Marvin & Chardonnay,4--
2254,Nicki Minaj,5,Super Bass,4--
2255,Bad Meets Evil Featuring Bruno Mars,6,Lighters,4--
2256,Big Sean Featuring Chris Brown,7,My Last,4--
2257,Lil Wayne Featuring Drake,8,She Will,4--
2258,LMFAO Featuring Lauren Bennett & GoonRock,9,Party Rock Anthem,4--
2259,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",10,Give Me Everything,4--
2260,Lupe Fiasco Featuring Trey Songz,11,Out Of My Head,4--
2261,Wale Featuring Jeremih & Rick Ross,12,That Way,4--
2262,Jay Z Kanye West,13,Ni**as in Paris,4--
2263,Ace Hood Featuring Chris Brown,14,Body 2 Body,4--
2264,New Boyz Featuring Chris Brown,15,Better With The Lights Off,4--
2265,Tyga Featuring Chris Richardson,16,Far Away,4--
2266,Chris Brown Featuring Lil Wayne & Busta Rhymes,17,Look At Me Now,4--
2267,Kreayshawn,18,Gucci Gucci,4--
2268,J. Cole,19,Work Out,4--
2269,Nicki Minaj Featuring Rihanna,20,Fly,4--
2270,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",21,Ima Boss,4--
2271,Diggy,22,"Copy, Paste",4--
2272,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa",23,Oh My,4--
2273,Sean Paul Featuring Alexis Jordan,24,Got 2 Luv U,4--
2274,Wiz Khalifa Featuring Too $hort,25,On My Level,4--
2275,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,I'm On One,1--
2276,Drake,2,Headlines,1--
2277,Jay Z Kanye West Featuring Otis Redding,3,Otis,1--
2278,Big Sean Featuring Kanye West & Roscoe Dash,4,Marvin & Chardonnay,1--
2279,Lil Wayne Featuring Drake,5,She Will,1--
2280,Bad Meets Evil Featuring Bruno Mars,6,Lighters,1--
2281,Nicki Minaj,7,Super Bass,1--
2282,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",8,Give Me Everything,1--
2283,LMFAO Featuring Lauren Bennett & GoonRock,9,Party Rock Anthem,1--
2284,Big Sean Featuring Chris Brown,10,My Last,1--
2285,Jay Z Kanye West,11,Ni**as in Paris,1--
2286,Wale Featuring Jeremih & Rick Ross,12,That Way,1--
2287,Lupe Fiasco Featuring Trey Songz,13,Out Of My Head,1--
2288,New Boyz Featuring Chris Brown,14,Better With The Lights Off,1--
2289,Ace Hood Featuring Chris Brown,15,Body 2 Body,1--
2290,Tyga Featuring Chris Richardson,16,Far Away,1--
2291,J. Cole,17,Work Out,1--
