,artist,rank,title
3231,Keith Sweat Feat. L.L. Cool J,7,Why Me Baby? (Pt. 2)
3232,Arrested Development,8,Tennessee
3233,Heavy D & The Boyz,9,Don't Curse/You Can't See What I See
3234,Sir Mix-A-Lot,10,Baby Got Back
3235,A Tribe Called Quest,11,Scenario
3236,Kris Kross,12,Jump
3237,The College Boyz,13,Victim Of The Ghetto
3238,Sylk Smoov,14,Trick Wit A Good Rap
3239,Black Sheep,15,Strobelite Honey
3240,Kris Kross,16,Warm It Up
3241,Penthouse Players Clique,17,Explanation Of A Playa
3242,Doug E. Fresh,18,Bustin' Out (On Funk)
3243,Organized Konfusion,19,Walk Into The Sun
3244,Kid Frost,20,No Sunshine
3245,Tim Dog,21,Bronx Nigga
3246,Brotherhood Creed,22,Helluva
3247,Kwame,23,Nastee
3248,M.C. Brains,24,Everybody's Talking About M.C. Brains
3249,M.C. Breed,25,Ain't To Be F...ed With
3250,Pete Rock & C.L. Smooth,1,They Reminisce Over You (T.R.O.Y.)
3251,Gang Starr,2,Take It Personal
3252,Fu-Schnickens,3,La Schmoove
3253,Nice & Smooth,4,Sometimes I Rhyme Slow
3254,Keith Sweat Feat. L.L. Cool J,5,Why Me Baby? (Pt. 2)
3255,Dr. Dre Introducing Snoop Doggy Dogg,6,Deep Cover
3256,Das EFX,7,They Want EFX
3257,Arrested Development,8,Tennessee
3258,Kris Kross,9,Warm It Up
3259,Heavy D & The Boyz,10,Don't Curse/You Can't See What I See
3260,A Tribe Called Quest,11,Scenario
3261,Sir Mix-A-Lot,12,Baby Got Back
3262,Black Sheep,13,Strobelite Honey
3263,Sylk Smoov,14,Trick Wit A Good Rap
3264,Penthouse Players Clique,15,Explanation Of A Playa
3265,Organized Konfusion,16,Walk Into The Sun
3266,The College Boyz,17,Victim Of The Ghetto
3267,Kris Kross,18,Jump
3268,Tim Dog,19,Bronx Nigga
3269,Doug E. Fresh,20,Bustin' Out (On Funk)
3270,Yo-Yo,21,Home Girl Don't Play Dat
3271,M.C. Breed,22,Ain't To Be F...ed With
3272,Kwame,23,Nastee
3273,Ultramagnetic MC's,24,Poppa Large
3274,Kid Frost,25,No Sunshine
3275,Pete Rock & C.L. Smooth,1,They Reminisce Over You (T.R.O.Y.)
3276,Gang Starr,2,Take It Personal
3277,Fu-Schnickens,3,La Schmoove
3278,Keith Sweat Feat. L.L. Cool J,4,Why Me Baby? (Pt. 2)
3279,Kris Kross,5,Warm It Up
3280,Das EFX,6,They Want EFX
3281,Arrested Development,7,Tennessee
3282,Heavy D & The Boyz,8,Don't Curse/You Can't See What I See
3283,Dr. Dre Introducing Snoop Doggy Dogg,9,Deep Cover
3284,Nice & Smooth,10,Sometimes I Rhyme Slow
3285,Black Sheep,11,Strobelite Honey
3286,Eric B. & Rakim,12,Don't Sweat The Technique
3287,Yo-Yo,13,Home Girl Don't Play Dat
3288,A Tribe Called Quest,14,Scenario
3289,Sir Mix-A-Lot,15,Baby Got Back
3290,Organized Konfusion,16,Walk Into The Sun
3291,M.C. Breed,17,Ain't To Be F...ed With
3292,Tim Dog,18,Bronx Nigga
3293,Penthouse Players Clique,19,Explanation Of A Playa
3294,Sylk Smoov,20,Trick Wit A Good Rap
3295,Kwame,21,Nastee
3296,Main Source,22,Fakin' The Funk
3297,House Of Pain,23,Jump Around
3298,Ultramagnetic MC's,24,Poppa Large
3299,Too $hort,25,I Want To Be Free
3300,Gang Starr,1,Take It Personal
3301,Pete Rock & C.L. Smooth,2,They Reminisce Over You (T.R.O.Y.)
3302,Fu-Schnickens,3,La Schmoove
3303,Kris Kross,4,Warm It Up
3304,Keith Sweat Feat. L.L. Cool J,5,Why Me Baby? (Pt. 2)
3305,Eric B. & Rakim,6,Don't Sweat The Technique
3306,Yo-Yo,7,Home Girl Don't Play Dat
3307,Black Sheep,8,Strobelite Honey
