,artist,rank,title
0,The D.O.C.,1,The D.O.C. & The Doctor
1,Sir Mix-A-Lot,2,Beepers
2,Wreckx-N-Effect,3,New Jack Swing
3,The 2 Live Crew,4,Me So Horny
4,Heavy D & The Boyz,5,Somebody For Me
5,3rd Bass,6,Steppin' Into The A.M.
6,Awesome Dre & The Hard Core Committee,7,Frankly Speaking
7,Donald-D,8,F.B.I.
8,Arabian Prince,9,She's Got A Big Posse
9,Rob Base,10,Turn It Out
10,MC Lyte,11,Cha Cha Cha
11,Salt-N-Pepa,12,Expression
12,Young M.C.,13,Principal's Office
13,Biz Markie,14,Just A Friend
14,Gucci Crew II,15,Five Dollar High
15,Redhead Kingpin & The F.B.I.,16,Pump It Hottie
16,The Young And The Restless,17,Poison Ivy
17,De La Soul,18,Buddy
18,Steady B,19,Going Steady
19,Grandmaster Slice & Izzy Chill,20,Shall We Dance (Electric Slide)
20,Young M.C.,21,Bust A Move
21,Black Rock 'N' Ron,22,True Feelings
22,Big Daddy Kane,23,I Get The Job Done
23,Wreckx-N-Effect,24,Juicy
24,Chubb Rock,25,Stop That Train
25,The D.O.C.,1,The D.O.C. & The Doctor
26,Sir Mix-A-Lot,2,Beepers
27,Salt-N-Pepa,3,Expression
28,Rob Base,4,Turn It Out
29,Wreckx-N-Effect,5,New Jack Swing
30,The 2 Live Crew,6,Me So Horny
31,Awesome Dre & The Hard Core Committee,7,Frankly Speaking
32,De La Soul,8,Buddy
33,Heavy D & The Boyz,9,Somebody For Me
34,Redhead Kingpin & The F.B.I.,10,Pump It Hottie
35,MC Lyte,11,Cha Cha Cha
36,Arabian Prince,12,She's Got A Big Posse
37,3rd Bass,13,Steppin' Into The A.M.
38,Biz Markie,14,Just A Friend
39,Young M.C.,15,Principal's Office
40,Big Daddy Kane,16,I Get The Job Done
41,The Young And The Restless,17,Poison Ivy
42,Donald-D,18,F.B.I.
43,Wreckx-N-Effect,19,Juicy
44,Steady B,20,Going Steady
45,Grandmaster Slice & Izzy Chill,21,Shall We Dance (Electric Slide)
46,Gucci Crew II,22,Five Dollar High
47,Serious-Lee-Fine,23,Nothing Can Stop Us
48,Chubb Rock,24,Stop That Train
49,Young M.C.,25,Bust A Move
50,Salt-N-Pepa,1,Expression
51,Sir Mix-A-Lot,2,Beepers
52,De La Soul,3,Buddy
53,Rob Base,4,Turn It Out
54,The D.O.C.,5,The D.O.C. & The Doctor
55,Redhead Kingpin & The F.B.I.,6,Pump It Hottie
56,The 2 Live Crew,7,Me So Horny
57,Wreckx-N-Effect,8,New Jack Swing
58,Young M.C.,9,Principal's Office
59,Awesome Dre & The Hard Core Committee,10,Frankly Speaking
60,The Young And The Restless,11,Poison Ivy
61,Big Daddy Kane,12,I Get The Job Done
62,MC Lyte,13,Cha Cha Cha
63,Heavy D & The Boyz,14,Somebody For Me
64,Wreckx-N-Effect,15,Juicy
65,Biz Markie,16,Just A Friend
66,3rd Bass,17,Steppin' Into The A.M.
67,Arabian Prince,18,She's Got A Big Posse
68,Donald-D,19,F.B.I.
69,Steady B,20,Going Steady
70,Grandmaster Slice & Izzy Chill,21,Shall We Dance (Electric Slide)
71,Public Enemy,22,Welcome To The Terrordome
72,Serious-Lee-Fine,23,Nothing Can Stop Us
73,Queen Latifah Featuring Monie Love,24,Ladies First
74,Chubb Rock,25,Stop That Train
75,Salt-N-Pepa,1,Expression
76,De La Soul,2,Buddy
77,Sir Mix-A-Lot,3,Beepers
78,Rob Base,4,Turn It Out
79,Redhead Kingpin & The F.B.I.,5,Pump It Hottie
80,Public Enemy,6,Welcome To The Terrordome
81,The D.O.C.,7,The D.O.C. & The Doctor
82,Wreckx-N-Effect,8,Juicy
83,The 2 Live Crew,9,Me So Horny
84,Big Daddy Kane,10,I Get The Job Done
85,Queen Latifah Featuring Monie Love,11,Ladies First
86,Wreckx-N-Effect,12,New Jack Swing
87,The Young And The Restless,13,Poison Ivy
88,Serious-Lee-Fine,14,Nothing Can Stop Us
89,Young M.C.,15,Principal's Office
90,Steady B,16,Going Steady
91,Heavy D & The Boyz,17,Somebody For Me
92,Awesome Dre & The Hard Core Committee,18,Frankly Speaking
93,Arabian Prince,19,She's Got A Big Posse
94,Grandmaster Slice & Izzy Chill,20,Shall We Dance (Electric Slide)
95,Biz Markie,21,Just A Friend
96,MC Lyte,22,Cha Cha Cha
97,Chubb Rock,23,Stop That Train
98,Donald-D,24,F.B.I.
99,3rd Bass,25,Steppin' Into The A.M.
100,Salt-N-Pepa,1,Expression
101,De La Soul,2,Buddy
102,Redhead Kingpin & The F.B.I.,3,Pump It Hottie
103,Public Enemy,4,Welcome To The Terrordome
104,Sir Mix-A-Lot,5,Beepers
105,Rob Base,6,Turn It Out
106,Wreckx-N-Effect,7,Juicy
107,Queen Latifah Featuring Monie Love,8,Ladies First
108,Big Daddy Kane,9,I Get The Job Done
109,The Young And The Restless,10,Poison Ivy
110,Young M.C.,11,Principal's Office
111,Serious-Lee-Fine,12,Nothing Can Stop Us
112,The 2 Live Crew,13,Me So Horny
113,The D.O.C.,14,The D.O.C. & The Doctor
114,3rd Bass,15,The Gas Face
115,Wreckx-N-Effect,16,New Jack Swing
116,Steady B,17,Going Steady
117,Digital Underground,18,The Humpty Dance
118,Grandmaster Slice & Izzy Chill,19,Shall We Dance (Electric Slide)
119,Biz Markie,20,Just A Friend
120,MC Lyte,21,Cha Cha Cha
121,Mr. Lee,22,Get Busy
122,Rodney O & Joe Cooley,23,Say It Loud
123,T-Ski,24,Pump That Beat
124,Divine Styler Feat. The Scheme Team,25,Ain't Sayin' Nothin'
125,Salt-N-Pepa,1,Expression
126,De La Soul,2,Buddy
127,Redhead Kingpin & The F.B.I.,3,Pump It Hottie
128,Public Enemy,4,Welcome To The Terrordome
129,Rob Base,5,Turn It Out
130,Wreckx-N-Effect,6,Juicy
131,Sir Mix-A-Lot,7,Beepers
132,Queen Latifah Featuring Monie Love,8,Ladies First
133,Serious-Lee-Fine,9,Nothing Can Stop Us
134,Big Daddy Kane,10,I Get The Job Done
135,The Young And The Restless,11,Poison Ivy
136,3rd Bass,12,The Gas Face
137,Digital Underground,13,The Humpty Dance
138,Heavy D & The Boyz,14,"Gyrlz, They Love Me"
139,The 2 Live Crew,15,Me So Horny
140,Steady B,16,Going Steady
141,Grandmaster Slice & Izzy Chill,17,Shall We Dance (Electric Slide)
142,The D.O.C.,18,The D.O.C. & The Doctor
143,Wreckx-N-Effect,19,New Jack Swing
144,Divine Styler Feat. The Scheme Team,20,Ain't Sayin' Nothin'
145,Young M.C.,21,Principal's Office
146,T-Ski,22,Pump That Beat
147,Biz Markie,23,Just A Friend
148,Rodney O & Joe Cooley,24,Say It Loud
149,Mr. Lee,25,Get Busy
150,Salt-N-Pepa,1,Expression
151,De La Soul,2,Buddy
152,Redhead Kingpin & The F.B.I.,3,Pump It Hottie
153,Public Enemy,4,Welcome To The Terrordome
154,Queen Latifah Featuring Monie Love,5,Ladies First
155,Wreckx-N-Effect,6,Juicy
156,Digital Underground,7,The Humpty Dance
157,3rd Bass,8,The Gas Face
158,The Young And The Restless,9,Poison Ivy
159,Sir Mix-A-Lot,10,Beepers
160,Rob Base,11,Turn It Out
161,Serious-Lee-Fine,12,Nothing Can Stop Us
162,The 2 Live Crew,13,C'mon Babe
163,Heavy D & The Boyz,14,"Gyrlz, They Love Me"
164,Big Daddy Kane,15,I Get The Job Done
165,Divine Styler Feat. The Scheme Team,16,Ain't Sayin' Nothin'
166,Rodney O & Joe Cooley,17,Say It Loud
167,T-Ski,18,Pump That Beat
168,Def Dames,19,976-Boom
169,Kwame,20,Sweet Thing
170,Grandmaster Slice & Izzy Chill,21,Shall We Dance (Electric Slide)
171,Gang Starr,22,Positivity
172,Mr. Lee,23,Get Busy
173,Young M.C.,24,Principal's Office
174,Low Profile,25,Pay Ya Dues
175,Salt-N-Pepa,1,Expression
176,Redhead Kingpin & The F.B.I.,2,Pump It Hottie
177,De La Soul,3,Buddy
178,Public Enemy,4,Welcome To The Terrordome
179,Digital Underground,5,The Humpty Dance
180,Queen Latifah Featuring Monie Love,6,Ladies First
181,3rd Bass,7,The Gas Face
182,The Young And The Restless,8,Poison Ivy
183,Heavy D & The Boyz,9,"Gyrlz, They Love Me"
184,The 2 Live Crew,10,C'mon Babe
185,Rodney O & Joe Cooley,11,Say It Loud
186,Big Daddy Kane,12,I Get The Job Done
187,Divine Styler Feat. The Scheme Team,13,Ain't Sayin' Nothin'
188,Rob Base,14,Turn It Out
189,Serious-Lee-Fine,15,Nothing Can Stop Us
190,Wreckx-N-Effect,16,Juicy
191,T-Ski,17,Pump That Beat
192,Sir Mix-A-Lot,18,Beepers
193,Gang Starr,19,Positivity
194,Kwame,20,Sweet Thing
195,LL Cool J,21,Jingling Baby
196,Mr. Lee,22,Get Busy
197,Def Dames,23,976-Boom
198,Biz Markie,24,Just A Friend
199,Maestro Fresh-Wes,25,Let Your Back Bone Slide
200,Salt-N-Pepa,1,Expression
201,De La Soul,2,Buddy
202,Public Enemy,3,Welcome To The Terrordome
203,Redhead Kingpin & The F.B.I.,4,Pump It Hottie
204,Digital Underground,5,The Humpty Dance
205,Queen Latifah Featuring Monie Love,6,Ladies First
206,3rd Bass,7,The Gas Face
207,The 2 Live Crew,8,C'mon Babe
208,Heavy D & The Boyz,9,"Gyrlz, They Love Me"
209,The Young And The Restless,10,Poison Ivy
210,Rodney O & Joe Cooley,11,Say It Loud
211,Divine Styler Feat. The Scheme Team,12,Ain't Sayin' Nothin'
212,T-Ski,13,Pump That Beat
213,Wreckx-N-Effect,14,Juicy
214,Mr. Lee,15,Get Busy
215,Biz Markie,16,Just A Friend
216,Low Profile,17,Pay Ya Dues
217,LL Cool J,18,Jingling Baby
218,Gang Starr,19,Positivity
219,Kwame,20,Sweet Thing
220,Rob Base,21,Turn It Out
221,Bobby Jimmy & The Critters,22,Somebody Farted
222,Big Daddy Kane,23,I Get The Job Done
223,Def Dames,24,976-Boom
224,Sir Mix-A-Lot,25,Beepers
225,Salt-N-Pepa,1,Expression
226,De La Soul,2,Buddy
227,Public Enemy,3,Welcome To The Terrordome
228,Digital Underground,4,The Humpty Dance
229,3rd Bass,5,The Gas Face
230,Heavy D & The Boyz,6,"Gyrlz, They Love Me"
231,Redhead Kingpin & The F.B.I.,7,Pump It Hottie
232,The 2 Live Crew,8,C'mon Babe
233,Rodney O & Joe Cooley,9,Say It Loud
234,Queen Latifah Featuring Monie Love,10,Ladies First
235,The Young And The Restless,11,Poison Ivy
236,Divine Styler Feat. The Scheme Team,12,Ain't Sayin' Nothin'
237,LL Cool J,13,Jingling Baby
238,Low Profile,14,Pay Ya Dues
239,Bobby Jimmy & The Critters,15,Somebody Farted
240,Mr. Lee,16,Get Busy
241,Biz Markie,17,Just A Friend
242,Maestro Fresh-Wes,18,Let Your Back Bone Slide
243,Gang Starr,19,Positivity
244,Big Daddy Kane,20,I Get The Job Done
245,Kwame,21,Sweet Thing
246,Vicious Beat Posse,22,Legalized Dope
247,Above The Law,23,Murder Rap
248,M.C. Hammer,24,Help The Children
249,T-Ski,25,Pump That Beat
250,Digital Underground,1,The Humpty Dance
251,Salt-N-Pepa,2,Expression
252,De La Soul,3,Buddy
253,Public Enemy,4,Welcome To The Terrordome
254,3rd Bass,5,The Gas Face
255,Heavy D & The Boyz,6,"Gyrlz, They Love Me"
256,The 2 Live Crew,7,C'mon Babe
257,Rodney O & Joe Cooley,8,Say It Loud
258,Queen Latifah Featuring Monie Love,9,Ladies First
259,Divine Styler Feat. The Scheme Team,10,Ain't Sayin' Nothin'
260,The Young And The Restless,11,Poison Ivy
261,Above The Law,12,Murder Rap
262,LL Cool J,13,Jingling Baby
263,Low Profile,14,Pay Ya Dues
264,Bobby Jimmy & The Critters,15,Somebody Farted
265,Redhead Kingpin & The F.B.I.,16,Pump It Hottie
266,MC Lyte & DJ K Rock,17,"Stop, Look, Listen"
267,M.C. Hammer,18,Help The Children
268,Gang Starr,19,Positivity
269,Maestro Fresh-Wes,20,Let Your Back Bone Slide
270,Mr. Lee,21,Get Busy
271,Biz Markie,22,Just A Friend
272,Vicious Beat Posse,23,Legalized Dope
273,Kid 'N Play,24,Funhouse
274,T-Ski,25,Pump That Beat
275,Digital Underground,1,The Humpty Dance
276,Salt-N-Pepa,2,Expression
277,De La Soul,3,Buddy
278,Heavy D & The Boyz,4,"Gyrlz, They Love Me"
279,3rd Bass,5,The Gas Face
280,Rodney O & Joe Cooley,6,Say It Loud
281,Public Enemy,7,Welcome To The Terrordome
282,Above The Law,8,Murder Rap
283,The 2 Live Crew,9,C'mon Babe
284,LL Cool J,10,Jingling Baby
285,Low Profile,11,Pay Ya Dues
286,Bobby Jimmy & The Critters,12,Somebody Farted
287,Divine Styler Feat. The Scheme Team,13,Ain't Sayin' Nothin'
288,MC Lyte & DJ K Rock,14,"Stop, Look, Listen"
289,Queen Latifah Featuring Monie Love,15,Ladies First
290,The Young And The Restless,16,Poison Ivy
291,Professor Griff,17,Pawns In The Game
292,Maestro Fresh-Wes,18,Let Your Back Bone Slide
293,M.C. Hammer,19,Help The Children
294,Redhead Kingpin & The F.B.I.,20,Pump It Hottie
295,Vicious Beat Posse,21,Legalized Dope
296,Kid 'N Play,22,Funhouse
297,The D.O.C.,23,The Formula
298,Biz Markie,24,Just A Friend
299,Gang Starr,25,Positivity
300,Digital Underground,1,The Humpty Dance
301,Salt-N-Pepa,2,Expression
302,De La Soul,3,Buddy
303,Rodney O & Joe Cooley,4,Say It Loud
304,Above The Law,5,Murder Rap
305,Heavy D & The Boyz,6,"Gyrlz, They Love Me"
306,Public Enemy,7,Welcome To The Terrordome
307,3rd Bass,8,The Gas Face
308,LL Cool J,9,Jingling Baby
309,Low Profile,10,Pay Ya Dues
310,Kid 'N Play,11,Funhouse
311,MC Lyte & DJ K Rock,12,"Stop, Look, Listen"
312,Divine Styler Feat. The Scheme Team,13,Ain't Sayin' Nothin'
313,M.C. Hammer,14,Help The Children
314,Bobby Jimmy & The Critters,15,Somebody Farted
315,The 2 Live Crew,16,C'mon Babe
316,Professor Griff,17,Pawns In The Game
317,Maestro Fresh-Wes,18,Let Your Back Bone Slide
318,The D.O.C.,19,The Formula
319,Queen Latifah Featuring Monie Love,20,Ladies First
320,The Young And The Restless,21,Poison Ivy
321,A Tribe Called Quest,22,I Left My Wallet In El Segundo
322,Vicious Beat Posse,23,Legalized Dope
323,Oaktown's 3.5.7,24,Juicy Gotcha Crazy
324,Kid Sensation,25,Back To Boom
325,Digital Underground,1,The Humpty Dance
326,Above The Law,2,Murder Rap
327,Salt-N-Pepa,3,Expression
328,Rodney O & Joe Cooley,4,Say It Loud
329,Kid 'N Play,5,Funhouse
330,De La Soul,6,Buddy
331,LL Cool J,7,Jingling Baby
332,Low Profile,8,Pay Ya Dues
333,Professor Griff,9,Pawns In The Game
334,MC Lyte & DJ K Rock,10,"Stop, Look, Listen"
335,The D.O.C.,11,The Formula
336,Heavy D & The Boyz,12,"Gyrlz, They Love Me"
337,Bobby Jimmy & The Critters,13,Somebody Farted
338,Maestro Fresh-Wes,14,Let Your Back Bone Slide
339,Public Enemy,15,Welcome To The Terrordome
340,3rd Bass,16,The Gas Face
341,M.C. Hammer,17,Help The Children
342,Oaktown's 3.5.7,18,Juicy Gotcha Crazy
343,Divine Styler Feat. The Scheme Team,19,Ain't Sayin' Nothin'
344,The 2 Live Crew,20,C'mon Babe
345,A Tribe Called Quest,21,I Left My Wallet In El Segundo
346,Kid Sensation,22,Back To Boom
347,The 2 Live Crew,23,The Funk Shop
348,M.C. Hammer,24,Dancin' Machine
349,The Young And The Restless,25,Poison Ivy
350,Digital Underground,1,The Humpty Dance
351,Above The Law,2,Murder Rap
352,Kid 'N Play,3,Funhouse
353,Salt-N-Pepa,4,Expression
354,Rodney O & Joe Cooley,5,Say It Loud
355,LL Cool J,6,Jingling Baby
356,Professor Griff,7,Pawns In The Game
357,Low Profile,8,Pay Ya Dues
358,The D.O.C.,9,The Formula
359,MC Lyte & DJ K Rock,10,"Stop, Look, Listen"
360,De La Soul,11,Buddy
361,Oaktown's 3.5.7,12,Juicy Gotcha Crazy
362,A Tribe Called Quest,13,I Left My Wallet In El Segundo
363,Bobby Jimmy & The Critters,14,Somebody Farted
364,M.C. Hammer,15,Help The Children
365,Heavy D & The Boyz,16,"Gyrlz, They Love Me"
366,Maestro Fresh-Wes,17,Let Your Back Bone Slide
367,Divine Styler Feat. The Scheme Team,18,Ain't Sayin' Nothin'
368,Kid Sensation,19,Back To Boom
369,Public Enemy,20,Welcome To The Terrordome
370,The 2 Live Crew,21,The Funk Shop
371,3rd Bass,22,The Gas Face
372,Missy Mist,23,Gettin' Bass
373,M.C. Shy-D,24,Don't Sweat Me
374,Kenny B Devine,25,Bass In The Box
375,Above The Law,1,Murder Rap
376,Digital Underground,2,The Humpty Dance
377,Kid 'N Play,3,Funhouse
378,The D.O.C.,4,The Formula
379,Professor Griff,5,Pawns In The Game
380,Salt-N-Pepa,6,Expression
381,LL Cool J,7,Jingling Baby
382,Low Profile,8,Pay Ya Dues
383,MC Lyte & DJ K Rock,9,"Stop, Look, Listen"
384,Rodney O & Joe Cooley,10,Say It Loud
385,Oaktown's 3.5.7,11,Juicy Gotcha Crazy
386,A Tribe Called Quest,12,I Left My Wallet In El Segundo
387,De La Soul,13,Buddy
388,Public Enemy,14,911 Is A Joke
389,Kid Sensation,15,Back To Boom
390,Bobby Jimmy & The Critters,16,Somebody Farted
391,The 2 Live Crew,17,The Funk Shop
392,Maestro Fresh-Wes,18,Let Your Back Bone Slide
393,Young And Restless,19,"""B"" Girls"
394,M.C. Shy-D,20,Don't Sweat Me
395,Power Jam Featuring Chill Rob G,21,The Power
396,Kenny B Devine,22,Bass In The Box
397,Missy Mist,23,Gettin' Bass
398,M.C. Hammer,24,Help The Children
399,Divine Styler Feat. The Scheme Team,25,Ain't Sayin' Nothin'
400,Above The Law,1,Murder Rap
401,Digital Underground,2,The Humpty Dance
402,Kid 'N Play,3,Funhouse
403,Professor Griff,4,Pawns In The Game
404,The D.O.C.,5,The Formula
405,Salt-N-Pepa,6,Expression
406,Oaktown's 3.5.7,7,Juicy Gotcha Crazy
407,LL Cool J,8,Jingling Baby
408,A Tribe Called Quest,9,I Left My Wallet In El Segundo
409,Low Profile,10,Pay Ya Dues
410,MC Lyte & DJ K Rock,11,"Stop, Look, Listen"
411,Public Enemy,12,911 Is A Joke
412,Young And Restless,13,"""B"" Girls"
413,Kid Sensation,14,Back To Boom
414,The 2 Live Crew,15,The Funk Shop
415,De La Soul,16,Buddy
416,Rodney O & Joe Cooley,17,Say It Loud
417,Kenny B Devine,18,Bass In The Box
418,M.C. Shy-D,19,Don't Sweat Me
419,Missy Mist,20,Gettin' Bass
420,Power Jam Featuring Chill Rob G,21,The Power
421,Nice & Smooth,22,Funky For You
422,Mark Dee,23,Get A Hold Of Yourself
423,Bobby Jimmy & The Critters,24,Somebody Farted
424,Sir Mix-A-Lot,25,My Hooptie
425,Kid 'N Play,1,Funhouse
426,Above The Law,2,Murder Rap
427,Digital Underground,3,The Humpty Dance
428,Professor Griff,4,Pawns In The Game
429,The D.O.C.,5,The Formula
430,Public Enemy,6,911 Is A Joke
431,Oaktown's 3.5.7,7,Juicy Gotcha Crazy
432,Salt-N-Pepa,8,Expression
433,A Tribe Called Quest,9,I Left My Wallet In El Segundo
434,LL Cool J,10,Jingling Baby
435,Young And Restless,11,"""B"" Girls"
436,Low Profile,12,Pay Ya Dues
437,Power Jam Featuring Chill Rob G,13,The Power
438,The 2 Live Crew,14,The Funk Shop
439,Kid Sensation,15,Back To Boom
440,Kenny B Devine,16,Bass In The Box
441,M.C. Shy-D,17,Don't Sweat Me
442,MC Lyte & DJ K Rock,18,"Stop, Look, Listen"
443,Nice & Smooth,19,Funky For You
444,Mark Dee,20,Get A Hold Of Yourself
445,Queen Latifah,21,Come Into My House
446,Missy Mist,22,Gettin' Bass
447,Sir Mix-A-Lot,23,My Hooptie
448,Rodney O & Joe Cooley,24,Say It Loud
449,XClan,25,Raise The Flag
450,Kid 'N Play,1,Funhouse
451,Above The Law,2,Murder Rap
452,Digital Underground,3,The Humpty Dance
453,Professor Griff,4,Pawns In The Game
454,Public Enemy,5,911 Is A Joke
455,The D.O.C.,6,The Formula
456,Oaktown's 3.5.7,7,Juicy Gotcha Crazy
457,Young And Restless,8,"""B"" Girls"
458,A Tribe Called Quest,9,I Left My Wallet In El Segundo
459,Power Jam Featuring Chill Rob G,10,The Power
460,LL Cool J,11,Jingling Baby
461,Salt-N-Pepa,12,Expression
462,Kid Sensation,13,Back To Boom
463,Nice & Smooth,14,Funky For You
464,Kenny B Devine,15,Bass In The Box
465,M.C. Shy-D,16,Don't Sweat Me
466,Mark Dee,17,Get A Hold Of Yourself
467,Snap!,18,The Power
468,Low Profile,19,Pay Ya Dues
469,Sir Mix-A-Lot,20,My Hooptie
470,The 2 Live Crew,21,The Funk Shop
471,Missy Mist,22,Gettin' Bass
472,Queen Latifah,23,Come Into My House
473,Heavy D & The Boyz,24,Big Tyme
474,MC Lyte & DJ K Rock,25,"Stop, Look, Listen"
475,Kid 'N Play,1,Funhouse
476,Public Enemy,2,911 Is A Joke
477,Above The Law,3,Murder Rap
478,Digital Underground,4,The Humpty Dance
479,Professor Griff,5,Pawns In The Game
480,Young And Restless,6,"""B"" Girls"
481,Oaktown's 3.5.7,7,Juicy Gotcha Crazy
482,The D.O.C.,8,The Formula
483,Power Jam Featuring Chill Rob G,9,The Power
484,Nice & Smooth,10,Funky For You
485,Snap!,11,The Power
486,Ice Cube,12,Amerikkka's Most Wanted
487,A Tribe Called Quest,13,I Left My Wallet In El Segundo
488,Kenny B Devine,14,Bass In The Box
489,LL Cool J,15,Jingling Baby
490,Salt-N-Pepa,16,Expression
491,Sir Mix-A-Lot,17,My Hooptie
492,Mark Dee,18,Get A Hold Of Yourself
493,Kid Sensation,19,Back To Boom
494,M.C. Shy-D,20,Don't Sweat Me
495,M.C. Hammer,21,U Can't Touch This
496,XClan,22,Raise The Flag
497,Queen Latifah,23,Come Into My House
498,The 2 Live Crew,24,The Funk Shop
499,Jungle Brothers,25,What U Waitin 4?
500,Public Enemy,1,911 Is A Joke
501,Kid 'N Play,2,Funhouse
502,Digital Underground,3,The Humpty Dance
503,Young And Restless,4,"""B"" Girls"
504,Professor Griff,5,Pawns In The Game
505,Power Jam Featuring Chill Rob G,6,The Power
506,Above The Law,7,Murder Rap
507,Ice Cube,8,Amerikkka's Most Wanted
508,Snap!,9,The Power
509,Oaktown's 3.5.7,10,Juicy Gotcha Crazy
510,Nice & Smooth,11,Funky For You
511,The D.O.C.,12,The Formula
512,Sir Mix-A-Lot,13,My Hooptie
513,Mark Dee,14,Get A Hold Of Yourself
514,M.C. Hammer,15,U Can't Touch This
515,A Tribe Called Quest,16,I Left My Wallet In El Segundo
516,Kenny B Devine,17,Bass In The Box
517,Kid Sensation,18,Back To Boom
518,XClan,19,Raise The Flag
519,Partners In Kryme,20,Turtle Power
520,Salt-N-Pepa,21,Expression
521,LL Cool J,22,Jingling Baby
522,M.C. Shy-D,23,Don't Sweat Me
523,Icey Jaye,24,It's Just A Girl Thing
524,Audio Two,25,On The Road Again
525,Public Enemy,1,911 Is A Joke
526,Ice Cube,2,Amerikkka's Most Wanted
527,Snap!,3,The Power
528,Young And Restless,4,"""B"" Girls"
529,Power Jam Featuring Chill Rob G,5,The Power
530,Digital Underground,6,The Humpty Dance
531,M.C. Hammer,7,U Can't Touch This
532,Kid 'N Play,8,Funhouse
533,Nice & Smooth,9,Funky For You
534,Above The Law,10,Murder Rap
535,Professor Griff,11,Pawns In The Game
536,Sir Mix-A-Lot,12,My Hooptie
537,Oaktown's 3.5.7,13,Juicy Gotcha Crazy
538,Partners In Kryme,14,Turtle Power
539,Mark Dee,15,Get A Hold Of Yourself
540,XClan,16,Raise The Flag
541,The D.O.C.,17,The Formula
542,Icey Jaye,18,It's Just A Girl Thing
543,LL Cool J,19,Jingling Baby
544,Salt-N-Pepa,20,Expression
545,Jungle Brothers,21,What U Waitin 4?
546,Audio Two,22,On The Road Again
547,David Bowie With Queen Latifah,23,Fame 90
548,Kid Sensation,24,Back To Boom
549,M.C. Shy-D,25,Don't Sweat Me
550,Ice Cube,1,Amerikkka's Most Wanted
551,Public Enemy,2,911 Is A Joke
552,Snap!,3,The Power
553,Power Jam Featuring Chill Rob G,4,The Power
554,M.C. Hammer,5,U Can't Touch This
555,Young And Restless,6,"""B"" Girls"
556,Digital Underground,7,The Humpty Dance
557,Sir Mix-A-Lot,8,My Hooptie
558,Nice & Smooth,9,Funky For You
559,Partners In Kryme,10,Turtle Power
560,Kid 'N Play,11,Funhouse
561,XClan,12,Raise The Flag
562,Professor Griff,13,Pawns In The Game
563,Above The Law,14,Murder Rap
564,Icey Jaye,15,It's Just A Girl Thing
565,Eric B. & Rakim,16,Let The Rhythm Hit 'Em
566,Oaktown's 3.5.7,17,Juicy Gotcha Crazy
567,Audio Two,18,On The Road Again
568,Mellow Man Ace,19,Mentirosa
569,Kwame & A New Beginning,20,Ownlee Eue
570,David Bowie With Queen Latifah,21,Fame 90
571,Jungle Brothers,22,What U Waitin 4?
572,Silk Tymes Leather,23,The Woman In Me
573,Compton's Most Wanted,24,One Time Gaffled Em Up
574,M.C. Shy-D,25,Don't Sweat Me
575,Ice Cube,1,Amerikkka's Most Wanted
576,Snap!,2,The Power
577,Power Jam Featuring Chill Rob G,3,The Power
578,M.C. Hammer,4,U Can't Touch This
579,Public Enemy,5,911 Is A Joke
580,Young And Restless,6,"""B"" Girls"
581,Sir Mix-A-Lot,7,My Hooptie
582,Nice & Smooth,8,Funky For You
583,Partners In Kryme,9,Turtle Power
584,Digital Underground,10,The Humpty Dance
585,Eric B. & Rakim,11,Let The Rhythm Hit 'Em
586,Icey Jaye,12,It's Just A Girl Thing
587,XClan,13,Raise The Flag
588,David Bowie With Queen Latifah,14,Fame 90
589,Kwame & A New Beginning,15,Ownlee Eue
590,Audio Two,16,On The Road Again
591,Mellow Man Ace,17,Mentirosa
592,Compton's Most Wanted,18,One Time Gaffled Em Up
593,Kid 'N Play,19,Funhouse
594,Professor Griff,20,Pawns In The Game
595,Jungle Brothers,21,What U Waitin 4?
596,Silk Tymes Leather,22,The Woman In Me
597,Oaktown's 3.5.7,23,Juicy Gotcha Crazy
598,M.C. Shy-D,24,Don't Sweat Me
599,Above The Law,25,Murder Rap
600,Ice Cube,1,Amerikkka's Most Wanted
601,Snap!,2,The Power
602,M.C. Hammer,3,U Can't Touch This
603,Power Jam Featuring Chill Rob G,4,The Power
604,Partners In Kryme,5,Turtle Power
605,Eric B. & Rakim,6,Let The Rhythm Hit 'Em
606,Public Enemy,7,911 Is A Joke
607,Sir Mix-A-Lot,8,My Hooptie
608,Young And Restless,9,"""B"" Girls"
609,Nice & Smooth,10,Funky For You
610,Icey Jaye,11,It's Just A Girl Thing
611,Digital Underground,12,The Humpty Dance
612,XClan,13,Raise The Flag
613,David Bowie With Queen Latifah,14,Fame 90
614,Compton's Most Wanted,15,One Time Gaffled Em Up
615,Audio Two,16,On The Road Again
616,Kwame & A New Beginning,17,Ownlee Eue
617,Mellow Man Ace,18,Mentirosa
618,Silk Tymes Leather,19,The Woman In Me
619,Jungle Brothers,20,What U Waitin 4?
620,The West Coast Rap All-Stars,21,We're All In The Same Gang
621,Above The Law,22,Untouchable
622,Def Dames,23,Set It Off
623,The UBC,24,U Treat Me Right
624,Kid 'N Play,25,Funhouse
625,Snap!,1,The Power
626,M.C. Hammer,2,U Can't Touch This
627,Ice Cube,3,Amerikkka's Most Wanted
628,Partners In Kryme,4,Turtle Power
629,Power Jam Featuring Chill Rob G,5,The Power
