,artist,rank,title
2224,Jay Z Kanye West,25,Ni**as in Paris
2225,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,I'm On One
2226,Jay Z Kanye West Featuring Otis Redding,2,Otis
2227,Nicki Minaj,3,Super Bass
2228,Big Sean Featuring Kanye West & Roscoe Dash,4,Marvin & Chardonnay
2229,Drake,5,Headlines
2230,Big Sean Featuring Chris Brown,6,My Last
2231,Bad Meets Evil Featuring Bruno Mars,7,Lighters
2232,LMFAO Featuring Lauren Bennett & GoonRock,8,Party Rock Anthem
2233,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",9,Give Me Everything
2234,Lupe Fiasco Featuring Trey Songz,10,Out Of My Head
2235,Lil Wayne Featuring Drake,11,She Will
2236,Wale Featuring Jeremih & Rick Ross,12,That Way
2237,Jay Z Kanye West,13,Ni**as in Paris
2238,Ace Hood Featuring Chris Brown,14,Body 2 Body
2239,New Boyz Featuring Chris Brown,15,Better With The Lights Off
2240,Tyga Featuring Chris Richardson,16,Far Away
2241,Waka Flocka Flame Featuring Roscoe Dash & Wale,17,No Hands
2242,Chris Brown Featuring Lil Wayne & Busta Rhymes,18,Look At Me Now
2243,Kreayshawn,19,Gucci Gucci
2244,Lupe Fiasco,20,The Show Goes On
2245,J. Cole,21,Work Out
2246,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",22,Ima Boss
2247,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa",23,Oh My
2248,Diggy,24,"Copy, Paste"
2249,Nicki Minaj Featuring Rihanna,25,Fly
2250,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,I'm On One
2251,Jay Z Kanye West Featuring Otis Redding,2,Otis
2252,Drake,3,Headlines
2253,Big Sean Featuring Kanye West & Roscoe Dash,4,Marvin & Chardonnay
2254,Nicki Minaj,5,Super Bass
2255,Bad Meets Evil Featuring Bruno Mars,6,Lighters
2256,Big Sean Featuring Chris Brown,7,My Last
2257,Lil Wayne Featuring Drake,8,She Will
2258,LMFAO Featuring Lauren Bennett & GoonRock,9,Party Rock Anthem
2259,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",10,Give Me Everything
2260,Lupe Fiasco Featuring Trey Songz,11,Out Of My Head
2261,Wale Featuring Jeremih & Rick Ross,12,That Way
2262,Jay Z Kanye West,13,Ni**as in Paris
2263,Ace Hood Featuring Chris Brown,14,Body 2 Body
2264,New Boyz Featuring Chris Brown,15,Better With The Lights Off
2265,Tyga Featuring Chris Richardson,16,Far Away
2266,Chris Brown Featuring Lil Wayne & Busta Rhymes,17,Look At Me Now
2267,Kreayshawn,18,Gucci Gucci
2268,J. Cole,19,Work Out
2269,Nicki Minaj Featuring Rihanna,20,Fly
2270,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",21,Ima Boss
2271,Diggy,22,"Copy, Paste"
2272,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa",23,Oh My
2273,Sean Paul Featuring Alexis Jordan,24,Got 2 Luv U
2274,Wiz Khalifa Featuring Too $hort,25,On My Level
2275,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,I'm On One
2276,Drake,2,Headlines
2277,Jay Z Kanye West Featuring Otis Redding,3,Otis
2278,Big Sean Featuring Kanye West & Roscoe Dash,4,Marvin & Chardonnay
2279,Lil Wayne Featuring Drake,5,She Will
2280,Bad Meets Evil Featuring Bruno Mars,6,Lighters
2281,Nicki Minaj,7,Super Bass
2282,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",8,Give Me Everything
2283,LMFAO Featuring Lauren Bennett & GoonRock,9,Party Rock Anthem
2284,Big Sean Featuring Chris Brown,10,My Last
2285,Jay Z Kanye West,11,Ni**as in Paris
2286,Wale Featuring Jeremih & Rick Ross,12,That Way
2287,Lupe Fiasco Featuring Trey Songz,13,Out Of My Head
2288,New Boyz Featuring Chris Brown,14,Better With The Lights Off
2289,Ace Hood Featuring Chris Brown,15,Body 2 Body
2290,Tyga Featuring Chris Richardson,16,Far Away
2291,J. Cole,17,Work Out
2292,Nicki Minaj Featuring Rihanna,18,Fly
2293,Kreayshawn,19,Gucci Gucci
2294,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",20,Ima Boss
2295,Diggy,21,"Copy, Paste"
2296,Sean Paul Featuring Alexis Jordan,22,Got 2 Luv U
2297,Wiz Khalifa,23,No Sleep
2298,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa",24,Oh My
2299,Wiz Khalifa Featuring Too $hort,25,On My Level
2300,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",1,I'm On One
2301,Drake,2,Headlines
2302,Lil Wayne Featuring Drake,3,She Will
2303,Big Sean Featuring Kanye West & Roscoe Dash,4,Marvin & Chardonnay
2304,Jay Z Kanye West Featuring Otis Redding,5,Otis
2305,Bad Meets Evil Featuring Bruno Mars,6,Lighters
2306,Nicki Minaj,7,Super Bass
2307,LMFAO Featuring Lauren Bennett & GoonRock,8,Party Rock Anthem
2308,Big Sean Featuring Chris Brown,9,My Last
2309,Jay Z Kanye West,10,Ni**as in Paris
2310,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",11,Give Me Everything
2311,Wale Featuring Jeremih & Rick Ross,12,That Way
2312,Ace Hood Featuring Chris Brown,13,Body 2 Body
2313,New Boyz Featuring Chris Brown,14,Better With The Lights Off
2314,Lupe Fiasco Featuring Trey Songz,15,Out Of My Head
2315,J. Cole,16,Work Out
2316,Nicki Minaj Featuring Rihanna,17,Fly
2317,Tyga Featuring Chris Richardson,18,Far Away
2318,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",19,Ima Boss
2319,Kreayshawn,20,Gucci Gucci
2320,Diggy,21,"Copy, Paste"
2321,Sean Paul Featuring Alexis Jordan,22,Got 2 Luv U
2322,Wiz Khalifa,23,No Sleep
2323,Future,24,Tony Montana
2324,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa",25,Oh My
2325,Drake,1,Headlines
2326,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",2,I'm On One
2327,Lil Wayne Featuring Drake,3,She Will
2328,Big Sean Featuring Kanye West & Roscoe Dash,4,Marvin & Chardonnay
2329,Jay Z Kanye West,5,Ni**as in Paris
2330,Jay Z Kanye West Featuring Otis Redding,6,Otis
2331,LMFAO Featuring Lauren Bennett & GoonRock,7,Party Rock Anthem
2332,Bad Meets Evil Featuring Bruno Mars,8,Lighters
2333,Nicki Minaj,9,Super Bass
2334,Big Sean Featuring Chris Brown,10,My Last
2335,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",11,Give Me Everything
2336,Wale Featuring Jeremih & Rick Ross,12,That Way
2337,J. Cole,13,Work Out
2338,Ace Hood Featuring Chris Brown,14,Body 2 Body
2339,Nicki Minaj Featuring Rihanna,15,Fly
2340,New Boyz Featuring Chris Brown,16,Better With The Lights Off
2341,Lupe Fiasco Featuring Trey Songz,17,Out Of My Head
2342,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",18,Ima Boss
2343,Tyga Featuring Chris Richardson,19,Far Away
2344,Sean Paul Featuring Alexis Jordan,20,Got 2 Luv U
2345,Diggy,21,"Copy, Paste"
2346,LMFAO,22,Sexy And I Know It
2347,Future,23,Tony Montana
2348,Kreayshawn,24,Gucci Gucci
2349,Birdman Featuring Nicki Minaj & Lil Wayne,25,Y.U. Mad
2350,Drake,1,Headlines
2351,Lil Wayne Featuring Drake,2,She Will
2352,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",3,I'm On One
2353,Big Sean Featuring Kanye West & Roscoe Dash,4,Marvin & Chardonnay
2354,Jay Z Kanye West,5,Ni**as in Paris
2355,LMFAO Featuring Lauren Bennett & GoonRock,6,Party Rock Anthem
2356,Wale Featuring Jeremih & Rick Ross,7,That Way
2357,Jay Z Kanye West Featuring Otis Redding,8,Otis
2358,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",9,Give Me Everything
2359,Bad Meets Evil Featuring Bruno Mars,10,Lighters
2360,J. Cole,11,Work Out
2361,Big Sean Featuring Chris Brown,12,My Last
2362,Ace Hood Featuring Chris Brown,13,Body 2 Body
2363,Nicki Minaj,14,Super Bass
2364,Nicki Minaj Featuring Rihanna,15,Fly
2365,New Boyz Featuring Chris Brown,16,Better With The Lights Off
2366,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",17,Ima Boss
2367,LMFAO,18,Sexy And I Know It
2368,Lupe Fiasco Featuring Trey Songz,19,Out Of My Head
2369,Tyga Featuring Chris Richardson,20,Far Away
2370,Diggy,21,"Copy, Paste"
2371,Big Sean Featuring Nicki Minaj,22,Dance (A$$)
2372,Sean Paul Featuring Alexis Jordan,23,Got 2 Luv U
2373,Future,24,Tony Montana
2374,T.I. Featuring Big K.R.I.T.,25,I'm Flexin'
2375,Drake,1,Headlines
2376,Lil Wayne Featuring Drake,2,She Will
2377,Jay Z Kanye West,3,Ni**as in Paris
2378,Big Sean Featuring Kanye West & Roscoe Dash,4,Marvin & Chardonnay
2379,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",5,I'm On One
2380,Wale Featuring Jeremih & Rick Ross,6,That Way
2381,Jay Z Kanye West Featuring Otis Redding,7,Otis
2382,LMFAO Featuring Lauren Bennett & GoonRock,8,Party Rock Anthem
2383,J. Cole,9,Work Out
2384,Ace Hood Featuring Chris Brown,10,Body 2 Body
2385,Bad Meets Evil Featuring Bruno Mars,11,Lighters
2386,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",12,Give Me Everything
2387,Nicki Minaj Featuring Rihanna,13,Fly
2388,Nicki Minaj,14,Super Bass
2389,Big Sean Featuring Chris Brown,15,My Last
2390,LMFAO,16,Sexy And I Know It
2391,New Boyz Featuring Chris Brown,17,Better With The Lights Off
2392,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",18,Ima Boss
2393,Big Sean Featuring Nicki Minaj,19,Dance (A$$)
2394,Lupe Fiasco Featuring Trey Songz,20,Out Of My Head
2395,Future,21,Tony Montana
2396,Tyga Featuring Chris Richardson,22,Far Away
2397,Diggy,23,"Copy, Paste"
2398,Sean Paul Featuring Alexis Jordan,24,Got 2 Luv U
2399,Rick Ross Featuring Nicki Minaj,25,You The Boss
2400,Drake,1,Headlines
2401,Lil Wayne Featuring Drake,2,She Will
2402,Jay Z Kanye West,3,Ni**as in Paris
2403,Big Sean Featuring Kanye West & Roscoe Dash,4,Marvin & Chardonnay
2404,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",5,I'm On One
2405,Wale Featuring Jeremih & Rick Ross,6,That Way
2406,J. Cole,7,Work Out
2407,Ace Hood Featuring Chris Brown,8,Body 2 Body
2408,Nicki Minaj Featuring Rihanna,9,Fly
2409,Jay Z Kanye West Featuring Otis Redding,10,Otis
2410,Bad Meets Evil Featuring Bruno Mars,11,Lighters
2411,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",12,Give Me Everything
2412,LMFAO Featuring Lauren Bennett & GoonRock,13,Party Rock Anthem
2413,LMFAO,14,Sexy And I Know It
2414,Nicki Minaj,15,Super Bass
2415,Big Sean Featuring Nicki Minaj,16,Dance (A$$)
2416,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",17,Ima Boss
2417,Big Sean Featuring Chris Brown,18,My Last
2418,New Boyz Featuring Chris Brown,19,Better With The Lights Off
2419,Future,20,Tony Montana
2420,Rick Ross Featuring Nicki Minaj,21,You The Boss
2421,Drake Featuring Nicki Minaj,22,Make Me Proud
2422,Wale Featuring Miguel,23,Lotus Flower Bomb
2423,T.I. Featuring Big K.R.I.T.,24,I'm Flexin'
2424,Tyga Featuring Chris Richardson,25,Far Away
2425,Drake,1,Headlines
2426,Lil Wayne Featuring Drake,2,She Will
2427,Jay Z Kanye West,3,Ni**as in Paris
2428,Big Sean Featuring Kanye West & Roscoe Dash,4,Marvin & Chardonnay
2429,Wale Featuring Jeremih & Rick Ross,5,That Way
2430,J. Cole,6,Work Out
2431,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",7,I'm On One
2432,Ace Hood Featuring Chris Brown,8,Body 2 Body
2433,Jay Z Kanye West Featuring Otis Redding,9,Otis
2434,Nicki Minaj Featuring Rihanna,10,Fly
2435,LMFAO,11,Sexy And I Know It
2436,Bad Meets Evil Featuring Bruno Mars,12,Lighters
2437,Big Sean Featuring Nicki Minaj,13,Dance (A$$)
2438,LMFAO Featuring Lauren Bennett & GoonRock,14,Party Rock Anthem
2439,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",15,Give Me Everything
2440,Nicki Minaj,16,Super Bass
2441,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",17,Ima Boss
2442,Wale Featuring Miguel,18,Lotus Flower Bomb
2443,Drake Featuring Nicki Minaj,19,Make Me Proud
2444,Rick Ross Featuring Nicki Minaj,20,You The Boss
2445,Future,21,Tony Montana
2446,New Boyz Featuring Chris Brown,22,Better With The Lights Off
2447,T.I. Featuring Big K.R.I.T.,23,I'm Flexin'
2448,Tyga Featuring Chris Richardson,24,Far Away
2449,Red Cafe Featuring Ryan Leslie & Rick Ross,25,Fly Together
2450,Drake,1,Headlines
2451,Lil Wayne Featuring Drake,2,She Will
2452,Jay Z Kanye West,3,Ni**as in Paris
2453,J. Cole,4,Work Out
2454,Wale Featuring Jeremih & Rick Ross,5,That Way
2455,Big Sean Featuring Kanye West & Roscoe Dash,6,Marvin & Chardonnay
2456,Ace Hood Featuring Chris Brown,7,Body 2 Body
2457,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",8,I'm On One
2458,Nicki Minaj Featuring Rihanna,9,Fly
2459,Big Sean Featuring Nicki Minaj,10,Dance (A$$)
2460,LMFAO,11,Sexy And I Know It
2461,Jay Z Kanye West Featuring Otis Redding,12,Otis
2462,Wale Featuring Miguel,13,Lotus Flower Bomb
2463,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",14,Give Me Everything
2464,Bad Meets Evil Featuring Bruno Mars,15,Lighters
2465,Drake Featuring Nicki Minaj,16,Make Me Proud
2466,LMFAO Featuring Lauren Bennett & GoonRock,17,Party Rock Anthem
2467,Rick Ross Featuring Nicki Minaj,18,You The Boss
2468,Future,19,Tony Montana
2469,Nicki Minaj,20,Super Bass
2470,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",21,Ima Boss
2471,Flo Rida,22,Good Feeling
2472,Red Cafe Featuring Ryan Leslie & Rick Ross,23,Fly Together
2473,New Boyz Featuring Chris Brown,24,Better With The Lights Off
2474,T.I. Featuring Big K.R.I.T.,25,I'm Flexin'
2475,Drake,1,Headlines
2476,Jay Z Kanye West,2,Ni**as in Paris
2477,Lil Wayne Featuring Drake,3,She Will
2478,J. Cole,4,Work Out
2479,Wale Featuring Jeremih & Rick Ross,5,That Way
2480,Ace Hood Featuring Chris Brown,6,Body 2 Body
2481,Big Sean Featuring Nicki Minaj,7,Dance (A$$)
2482,Big Sean Featuring Kanye West & Roscoe Dash,8,Marvin & Chardonnay
2483,LMFAO,9,Sexy And I Know It
2484,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",10,I'm On One
2485,Wale Featuring Miguel,11,Lotus Flower Bomb
2486,Nicki Minaj Featuring Rihanna,12,Fly
2487,Drake Featuring Nicki Minaj,13,Make Me Proud
2488,Jay Z Kanye West Featuring Otis Redding,14,Otis
2489,Rick Ross Featuring Nicki Minaj,15,You The Boss
2490,LMFAO Featuring Lauren Bennett & GoonRock,16,Party Rock Anthem
2491,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",17,Give Me Everything
2492,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",18,Ima Boss
2493,Future,19,Tony Montana
2494,Nicki Minaj,20,Super Bass
2495,Bad Meets Evil Featuring Bruno Mars,21,Lighters
2496,Flo Rida,22,Good Feeling
2497,Red Cafe Featuring Ryan Leslie & Rick Ross,23,Fly Together
2498,J. Cole Featuring Trey Songz,24,Can't Get Enough
2499,Waka Flocka Flame Featuring Drake,25,Round Of Applause
2500,Jay Z Kanye West,1,Ni**as in Paris
2501,Drake,2,Headlines
2502,Lil Wayne Featuring Drake,3,She Will
2503,J. Cole,4,Work Out
2504,Big Sean Featuring Nicki Minaj,5,Dance (A$$)
2505,Wale Featuring Jeremih & Rick Ross,6,That Way
2506,Ace Hood Featuring Chris Brown,7,Body 2 Body
2507,LMFAO,8,Sexy And I Know It
2508,Wale Featuring Miguel,9,Lotus Flower Bomb
2509,Big Sean Featuring Kanye West & Roscoe Dash,10,Marvin & Chardonnay
2510,Drake Featuring Nicki Minaj,11,Make Me Proud
2511,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",12,I'm On One
2512,Rick Ross Featuring Nicki Minaj,13,You The Boss
2513,Jay Z Kanye West Featuring Otis Redding,14,Otis
2514,Nicki Minaj Featuring Rihanna,15,Fly
2515,Flo Rida,16,Good Feeling
2516,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",17,Ima Boss
2517,Future,18,Tony Montana
2518,J. Cole Featuring Trey Songz,19,Can't Get Enough
2519,Waka Flocka Flame Featuring Drake,20,Round Of Applause
2520,Bad Meets Evil Featuring Bruno Mars,21,Lighters
2521,Red Cafe Featuring Ryan Leslie & Rick Ross,22,Fly Together
2522,Roscoe Dash,23,Good Good Night
2523,B.o.B Featuring Lil Wayne,24,Strange Clouds
2524,Drake Featuring Lil Wayne,25,The Motto
2525,Jay Z Kanye West,1,Ni**as in Paris
2526,Drake,2,Headlines
2527,Lil Wayne Featuring Drake,3,She Will
2528,J. Cole,4,Work Out
2529,Big Sean Featuring Nicki Minaj,5,Dance (A$$)
2530,Wale Featuring Miguel,6,Lotus Flower Bomb
2531,Wale Featuring Jeremih & Rick Ross,7,That Way
2532,Drake Featuring Nicki Minaj,8,Make Me Proud
2533,LMFAO,9,Sexy And I Know It
2534,Ace Hood Featuring Chris Brown,10,Body 2 Body
2535,Big Sean Featuring Kanye West & Roscoe Dash,11,Marvin & Chardonnay
2536,Rick Ross Featuring Nicki Minaj,12,You The Boss
2537,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",13,I'm On One
2538,Flo Rida,14,Good Feeling
2539,J. Cole Featuring Trey Songz,15,Can't Get Enough
2540,Nicki Minaj Featuring Rihanna,16,Fly
2541,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",17,Ima Boss
2542,Jay Z Kanye West Featuring Otis Redding,18,Otis
2543,Waka Flocka Flame Featuring Drake,19,Round Of Applause
2544,B.o.B Featuring Lil Wayne,20,Strange Clouds
2545,Roscoe Dash,21,Good Good Night
2546,Drake Featuring Lil Wayne,22,The Motto
2547,Red Cafe Featuring Ryan Leslie & Rick Ross,23,Fly Together
2548,Future,24,Tony Montana
2549,Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,25,"Young, Wild & Free"
2550,Jay Z Kanye West,1,Ni**as in Paris
2551,Drake,2,Headlines
2552,J. Cole,3,Work Out
2553,Lil Wayne Featuring Drake,4,She Will
2554,Big Sean Featuring Nicki Minaj,5,Dance (A$$)
2555,Wale Featuring Miguel,6,Lotus Flower Bomb
2556,Drake Featuring Nicki Minaj,7,Make Me Proud
2557,LMFAO,8,Sexy And I Know It
2558,Wale Featuring Jeremih & Rick Ross,9,That Way
2559,Ace Hood Featuring Chris Brown,10,Body 2 Body
2560,Rick Ross Featuring Nicki Minaj,11,You The Boss
2561,Flo Rida,12,Good Feeling
2562,Big Sean Featuring Kanye West & Roscoe Dash,13,Marvin & Chardonnay
2563,J. Cole Featuring Trey Songz,14,Can't Get Enough
2564,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",15,I'm On One
2565,B.o.B Featuring Lil Wayne,16,Strange Clouds
2566,Waka Flocka Flame Featuring Drake,17,Round Of Applause
2567,Nicki Minaj Featuring Rihanna,18,Fly
2568,Drake Featuring Lil Wayne,19,The Motto
2569,Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,20,"Young, Wild & Free"
2570,"Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz",21,Ima Boss
2571,Jay Z Kanye West Featuring Otis Redding,22,Otis
2572,Roscoe Dash,23,Good Good Night
2573,Young Jeezy Featuring Jay-Z & Andre 3000,24,I Do
2574,Meek Mill Featuring Young Chris,25,House Party
2575,Jay Z Kanye West,1,Ni**as in Paris
2576,Drake,2,Headlines
2577,Big Sean Featuring Nicki Minaj,3,Dance (A$$)
2578,J. Cole,4,Work Out
2579,Lil Wayne Featuring Drake,5,She Will
2580,Drake Featuring Nicki Minaj,6,Make Me Proud
2581,Wale Featuring Miguel,7,Lotus Flower Bomb
2582,LMFAO,8,Sexy And I Know It
2583,Wale Featuring Jeremih & Rick Ross,9,That Way
2584,Flo Rida,10,Good Feeling
2585,J. Cole Featuring Trey Songz,11,Can't Get Enough
2586,Rick Ross Featuring Nicki Minaj,12,You The Boss
2587,Big Sean Featuring Kanye West & Roscoe Dash,13,Marvin & Chardonnay
2588,Ace Hood Featuring Chris Brown,14,Body 2 Body
2589,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",15,I'm On One
2590,Drake Featuring Lil Wayne,16,The Motto
2591,Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,17,"Young, Wild & Free"
2592,B.o.B Featuring Lil Wayne,18,Strange Clouds
2593,Waka Flocka Flame Featuring Drake,19,Round Of Applause
2594,Young Jeezy Featuring Jay-Z & Andre 3000,20,I Do
2595,Tyga,21,Rack City
2596,Nicki Minaj Featuring Rihanna,22,Fly
2597,Roscoe Dash,23,Good Good Night
2598,Meek Mill Featuring Young Chris,24,House Party
2599,Diggy Featuring Jeremih,25,Do It Like You
2600,Jay Z Kanye West,1,Ni**as in Paris
2601,Big Sean Featuring Nicki Minaj,2,Dance (A$$)
2602,Drake,3,Headlines
2603,J. Cole,4,Work Out
2604,Drake Featuring Nicki Minaj,5,Make Me Proud
2605,Wale Featuring Miguel,6,Lotus Flower Bomb
2606,Lil Wayne Featuring Drake,7,She Will
2607,LMFAO,8,Sexy And I Know It
2608,J. Cole Featuring Trey Songz,9,Can't Get Enough
2609,Wale Featuring Jeremih & Rick Ross,10,That Way
2610,Flo Rida,11,Good Feeling
2611,Rick Ross Featuring Nicki Minaj,12,You The Boss
2612,Young Jeezy Featuring Jay-Z & Andre 3000,13,I Do
2613,Drake Featuring Lil Wayne,14,The Motto
2614,Ace Hood Featuring Chris Brown,15,Body 2 Body
2615,Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,16,"Young, Wild & Free"
2616,Waka Flocka Flame Featuring Drake,17,Round Of Applause
2617,B.o.B Featuring Lil Wayne,18,Strange Clouds
2618,Tyga,19,Rack City
2619,Jay Z Kanye West,20,Gotta Have It
2620,Nicki Minaj Featuring Rihanna,21,Fly
2621,Diggy Featuring Jeremih,22,Do It Like You
2622,Drake Featuring Rihanna,23,Take Care
2623,Roscoe Dash,24,Good Good Night
2624,Kirko Bangz,25,Drank In My Cup
2625,Jay Z Kanye West,1,Ni**as in Paris
2626,Big Sean Featuring Nicki Minaj,2,Dance (A$$)
2627,Drake Featuring Nicki Minaj,3,Make Me Proud
2628,J. Cole,4,Work Out
2629,Wale Featuring Miguel,5,Lotus Flower Bomb
2630,Drake,6,Headlines
2631,Lil Wayne Featuring Drake,7,She Will
2632,LMFAO,8,Sexy And I Know It
2633,J. Cole Featuring Trey Songz,9,Can't Get Enough
2634,Flo Rida,10,Good Feeling
2635,Rick Ross Featuring Nicki Minaj,11,You The Boss
2636,Wale Featuring Jeremih & Rick Ross,12,That Way
2637,Young Jeezy Featuring Jay-Z & Andre 3000,13,I Do
2638,Drake Featuring Lil Wayne,14,The Motto
2639,Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,15,"Young, Wild & Free"
2640,Tyga,16,Rack City
2641,Ace Hood Featuring Chris Brown,17,Body 2 Body
2642,Waka Flocka Flame Featuring Drake,18,Round Of Applause
2643,B.o.B Featuring Lil Wayne,19,Strange Clouds
2644,Drake Featuring Rihanna,20,Take Care
2645,Jay Z Kanye West,21,Gotta Have It
2646,Diggy Featuring Jeremih,22,Do It Like You
2647,Pitbull Featuring Chris Brown,23,International Love
2648,Kirko Bangz,24,Drank In My Cup
2649,Nicki Minaj Featuring Rihanna,25,Fly
2650,Jay Z Kanye West,1,Ni**as in Paris
2651,Big Sean Featuring Nicki Minaj,2,Dance (A$$)
2652,Drake Featuring Nicki Minaj,3,Make Me Proud
2653,J. Cole,4,Work Out
2654,Wale Featuring Miguel,5,Lotus Flower Bomb
2655,Drake,6,Headlines
2656,Lil Wayne Featuring Drake,7,She Will
2657,J. Cole Featuring Trey Songz,8,Can't Get Enough
2658,Flo Rida,9,Good Feeling
2659,LMFAO,10,Sexy And I Know It
2660,Rick Ross Featuring Nicki Minaj,11,You The Boss
2661,Drake Featuring Lil Wayne,12,The Motto
2662,Wale Featuring Jeremih & Rick Ross,13,That Way
2663,Young Jeezy Featuring Jay-Z & Andre 3000,14,I Do
2664,Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,15,"Young, Wild & Free"
2665,Tyga,16,Rack City
2666,Waka Flocka Flame Featuring Drake,17,Round Of Applause
2667,B.o.B Featuring Lil Wayne,18,Strange Clouds
2668,Jay Z Kanye West,19,Gotta Have It
2669,Drake Featuring Rihanna,20,Take Care
2670,Diggy Featuring Jeremih,21,Do It Like You
2671,Pitbull Featuring Chris Brown,22,International Love
2672,Kirko Bangz,23,Drank In My Cup
2673,Red Cafe Featuring Ryan Leslie & Rick Ross,24,Fly Together
2674,Nicki Minaj Featuring Rihanna,25,Fly
2675,Jay Z Kanye West,1,Ni**as in Paris
2676,Big Sean Featuring Nicki Minaj,2,Dance (A$$)
2677,Drake Featuring Nicki Minaj,3,Make Me Proud
2678,Wale Featuring Miguel,4,Lotus Flower Bomb
2679,J. Cole,5,Work Out
2680,Drake,6,Headlines
2681,Lil Wayne Featuring Drake,7,She Will
2682,J. Cole Featuring Trey Songz,8,Can't Get Enough
2683,Drake Featuring Lil Wayne,9,The Motto
2684,Flo Rida,10,Good Feeling
2685,Rick Ross Featuring Nicki Minaj,11,You The Boss
2686,LMFAO,12,Sexy And I Know It
2687,Young Jeezy Featuring Jay-Z & Andre 3000,13,I Do
2688,Wale Featuring Jeremih & Rick Ross,14,That Way
2689,Tyga,15,Rack City
2690,Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,16,"Young, Wild & Free"
2691,Waka Flocka Flame Featuring Drake,17,Round Of Applause
2692,Jay Z Kanye West,18,Gotta Have It
2693,Drake Featuring Rihanna,19,Take Care
2694,B.o.B Featuring Lil Wayne,20,Strange Clouds
2695,Diggy Featuring Jeremih,21,Do It Like You
2696,Pitbull Featuring Chris Brown,22,International Love
2697,Kirko Bangz,23,Drank In My Cup
2698,Meek Mill Featuring Young Chris,24,House Party
2699,Nicki Minaj Featuring Rihanna,25,Fly
2700,Jay Z Kanye West,1,Ni**as in Paris
2701,Big Sean Featuring Nicki Minaj,2,Dance (A$$)
2702,Drake Featuring Nicki Minaj,3,Make Me Proud
2703,Wale Featuring Miguel,4,Lotus Flower Bomb
